"TARS_ROV_NEV	TARS_HOSZ_NEV	CIM_EGYBEN	TARS_TIPUS_MEGNEV	TARS_TIPUS_KOD	ADOSZAM	GAZD_FORM	GAZD_FORM_KOD	CEGALL	CEGALL_KOD	NEMGAZD_AG_MEGNEV	NEMGAZD_AG_KOD	NEMGAZD_AGAZAT_MEGNEV	NEMGAZD_AGAZAT_KOD	NEMGAZD_SZAKAGAZAT_MEGNEV	NEMGAZD_SZAKAGAZAT_KOD	JEGYZ_TOKE_ERT_HUF 	ORSZAG	ORSZAG_KOD	REGIO	REGIO_KOD	MEGYE	MEGYE_KOD 	TELEPULES	TELEPULES_KOD	ASZ_EVE";;
"European XFEL GmbH.	European X-Ray Free Electron Laser Facility GmbH.	22761 Hamburg, Albert-Einstein-Ring 19	Gazdasági Társaság	1	99990002-0-00	GmbH.	7	Mûködõ	4	Területen kívüli szervezet	U	Területen kívüli szervezet	99	Területen kívüli szervezet	9900	76133.00	Németország	DE	Egyéb	8	Egyéb	21	Hamburg	27	2014";;
"																									";;
"SC SZABOLCS-HAR SRL	SC SZABOLCS-HAR SRL	530130 Miercurea Ciuc (Csíkszereda), Str. Kossuth Lajos u. 21.	Gazdasági Társaság	1	99990005-0-00 	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletviteli, egyéb vezetési tanácsadás	7022	5114911.00	Románia	RO	Egyéb	8	Egyéb	21	Csíkszereda	3321	2013";;
"																									";;
"Hemisphere Kockázati Tõkealap-kezelõ Zrt.	Hemisphere Kockázati Tõkealap	1118 Budapest, Rétköz utca 5. IV. em.	Gazdasági Társaság	1	24315339-1-41	Zártkörûen Mûködõ Részvénytársaság	21	Mûködõ	4	Pénzügyi, biztosítási tevékenység	K	Egyéb pénzügyi tevékenység	66	Alapkezelés	6630	4300000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015";;
"																									";;
"Kincsem Nemzeti Kft.	Kincsem Nemzeti Lóverseny és Lovas Stratégia Korlátolt Felelõsségû Társaság	1101 Budapest, Albertirsai út 2-4.	Gazdasági Társaság	1	23581078-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mûvészet, szórakoztatás, szabadidõ	R	Sport-, szórakoztató-, szabadidõs tevékenység	93	Sportlétesítmény mûködtetése	9311	6000000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2011";;
"																									";;
"Kincsem Nemzeti Kft.	Kincsem Nemzeti Lóverseny és Lovas Stratégia Korlátolt Felelõsségû Társaság	1101 Budapest, Albertirsai út 2-4.	Gazdasági Társaság	1	23581078-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Mûvészet, szórakoztatás, szabadidõ	R	Sport-, szórakoztató-, szabadidõs tevékenység	93	Sportlétesítmény mûködtetése	9311	6700000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2012";;
"																									";;
"GANZ-DANUBIUS Végelszámolás alatt	GANZ DANUBIUS Hajó- és Darugyár v.a.	1138 Budapest, Váci út 202.	Gazdasági Társaság	1	10001459-2-41	Állami Vállalat	3	Végelszámolás alatt	5	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletviteli, egyéb vezetési tanácsadás	7022	2669524000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010";;
"																									";;
"GANZ-DANUBIUS Végelszámolás alatt	GANZ DANUBIUS Hajó- és Darugyár  Végelszámolás alatt 	1138 Budapest, Váci út 202.	Gazdasági Társaság	1	10001459-2-41	Állami Vállalat	3	Végelszámolás alatt	5	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletviteli, egyéb vezetési tanácsadás	7022	2669524000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2011";;
"																									";;
"GANZ-DANUBIUS f.a.	GANZ DANUBIUS Hajó- és Darugyár felszámolás alatt 	1138 Budapest XIII, Váci út 202.	Gazdasági Társaság	1	10001459-2-41	Állami Vállalat	3	Felszámolás alatt	1	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletviteli, egyéb vezetési tanácsadás	7022	2669524000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2013";;
"																									";;
"GANZ-DANUBIUS f.a.	GANZ DANUBIUS Hajó- és Darugyár felszámolás alatt 	1138 Budapest Váci út 202.	Gazdasági Társaság	1	10001459-2-41	Állami Vállalat	3	Felszámolás alatt	1	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletviteli, egyéb vezetési tanácsadás	7022	2669524000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2014";;
"																									";;
"GANZ-DANUBIUS f.a.	GANZ DANUBIUS Hajó- és Darugyár felszámolás alatt 	1138 Budapest XIII, Váci út 202.	Gazdasági Társaság	1	10001459-2-41	Állami Vállalat	3	Végelszámolás alatt	5	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletviteli, egyéb vezetési tanácsadás	7022	2669524000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2012";;
"																									";;
"GENERALIMPEX f.a.	GENERALIMPEX Magyar Külkereskedelmi Vállalat f.a.	1113 Budapest, Ulászló u.39-4. II. lph. 156. fszt.4.	Gazdasági Társaság	1	10139059-2-43	Állami Vállalat	3	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Nagykereskedelem (kivéve: jármû, motorkerékpár)	46	Vegyestermékkörû nagykereskedelem	4690	50000000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010";;
"																									";;
"BUDAPRINT	BUDAPRINT Pamutnyomóipari Vállalat felszámolás alatt	1036 Budapest III, Fényes Adolf utca 19-21.	Gazdasági Társaság	1	10003712-2-41	Állami Vállalat	3	Felszámolás alatt	1	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletvezetés	7010	3387680000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2012";;
"																									";;
"BUDAPRINT	BUDAPRINT Pamutnyomóipari Vállalat felszámolás alatt	1036 Budapest, Fényes Adolf u.19-21.	Gazdasági Társaság	1	10003712-2-41	Állami Vállalat	3	Felszámolás alatt	1	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletvezetés	7010	3387680000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2011";;
"																									";;
"BUDAPRINT	BUDAPRINT Pamutnyomóipari Vállalat f. a.	1036 Budapest, Fényes Adolf u.19-21.	Gazdasági Társaság	1	10003712-2-41	Állami Vállalat	3	Felszámolás alatt	1	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletvezetés	7010	3387680000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010";;
"																									";;
"MÉLYÉPTERV F.A.	Mélyépítési Tervezõ Vállalat f.a.	1053 Budapest, Múzeum krt. 1/b.	Gazdasági Társaság	1	10005972-2-41	Állami Vállalat	3	Felszámolás alatt	1	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletviteli, egyéb vezetési tanácsadás	7022	159350000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010";;
"																									";;
"MÉLYÉPTERV F.A.	Mélyépítési Tervezõ Vállalat felszámolás alatt	1053 Budapest Múzeum körút 1/b.	Gazdasági Társaság	1	10005972-2-41	Állami Vállalat	3	Felszámolás alatt	1	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletviteli, egyéb vezetési tanácsadás	7022	159350000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015";;
"																									";;
"MÉLYÉPTERV F.A.	Mélyépítési Tervezõ Vállalat felszámolás alatt	1053 Budapest, Múzeum krt. 1/b.	Gazdasági Társaság	1	10005972-2-41	Állami Vállalat	3	Felszámolás alatt	1	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletviteli, egyéb vezetési tanácsadás	7022	159350000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2011";;
"																									";;
"MÉLYÉPTERV F.A.	Mélyépítési Tervezõ Vállalat felszámolás alatt	1053 Budapest Múzeum körút 1/b.	Gazdasági Társaság	1	10005972-2-41	Állami Vállalat	3	Felszámolás alatt	1	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletviteli, egyéb vezetési tanácsadás	7022	159350000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2016";;
"																									";;
"MÉLYÉPTERV F.A.	Mélyépítési Tervezõ Vállalat felszámolás alatt	1053 Budapest, Múzeum körút 1/b.	Gazdasági Társaság	1	10005972-2-41	Állami Vállalat	3	Felszámolás alatt	1	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletviteli, egyéb vezetési tanácsadás	7022	159350000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2012";;
"																									";;
"MÉLYÉPTERV F.A.	Mélyépítési Tervezõ Vállalat felszámolás alatt	1053 Budapest, Múzeum körút 1/b.	Gazdasági Társaság	1	10005972-2-41	Állami Vállalat	3	Felszámolás alatt	1	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletviteli, egyéb vezetési tanácsadás	7022	159350000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2013";;
"																									";;
"MÉLYÉPTERV F.A.	Mélyépítési Tervezõ Vállalat felszámolás alatt	1053 Budapest Múzeum körút 1/b.	Gazdasági Társaság	1	10005972-2-41	Állami Vállalat	3	Felszámolás alatt	1	Szakmai, tudományos, mûszaki tevékenység	M	Üzletvezetési, vezetõi tanácsadás	70	Üzletviteli, egyéb vezetési tanácsadás	7022	159350000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2014";;
"																									";;
"VÁV felszámolás alatt	Villamos Állomásszerelõ Vállalat felszámolás alatt	1135 Budapest XIII, Csata utca 8.	Gazdasági Társaság	1	10191268-2-41	Állami Vállalat	3	Felszámolás alatt	1	Feldolgozóipar	C	Villamos berendezés gyártása	27	Áramelosztó, -szabályozó készülék gyártása	2712	932841000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2012";;
"																									";;
"VÁV felszámolás alatt	Villamos Állomásszerelõ Vállalat felszámolás alatt	1135 Budapest XIII, Csata utca 8.	Gazdasági Társaság	1	10191268-2-41	Állami Vállalat	3	Felszámolás alatt	1	Feldolgozóipar	C	Villamos berendezés gyártása	27	Áramelosztó, -szabályozó készülék gyártása	2712	932841000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2011";;
"																									";;
"VÁV felszámolás alatt	Villamos Állomásszerelõ Vállalat f.a.	1135 Budapest, Csata u. 8.	Gazdasági Társaság	1	10191268-2-41	Állami Vállalat	3	Felszámolás alatt	1	Feldolgozóipar	C	Villamos berendezés gyártása	27	Áramelosztó, -szabályozó készülék gyártása	2712	932841000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010";;
"																									";;
"DUNABAU 43.	DUNABAU 43. Általános Épitõ Vállalat Felszámolás alatt	1045 Budapest, Chinoin u. 20.	Gazdasági Társaság	1	10005305-2-41	Állami Vállalat	3	Felszámolás alatt	1	Építõipar	F	Speciális szaképítés	43	Egyéb speciális szaképítés m.n.s.	4399	267994000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2011";;
"																									";;
"DUNABAU 43. f.a.	DUNABAU 43. Általános Épitõ Vállalat Felszámolás alatt	1045 Budapest IV, Chinoin utca 20.	Gazdasági Társaság	1	10005305-2-41	Állami Vállalat	3	Felszámolás alatt	1	Építõipar	F	Speciális szaképítés	43	Egyéb speciális szaképítés m.n.s.	4399	267994000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2013";;
"																									";;
"DUNABAU 43.	DUNABAU 43. Általános Építõ Vállalat f.a.	1045 Budapest, Chinoin u. 20.	Gazdasági Társaság	1	10005305-2-41	Állami Vállalat	3	Felszámolás alatt	1	Építõipar	F	Speciális szaképítés	43	Egyéb speciális szaképítés m.n.s.	4399	267994000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010";;
"																									";;
"DUNABAU 43.	DUNABAU 43. Általános Épitõ Vállalat Felszámolás alatt	1045 Budapest IV, Chinoin utca 20.	Gazdasági Társaság	1	10005305-2-41	Állami Vállalat	3	Felszámolás alatt	1	Építõipar	F	Speciális szaképítés	43	Egyéb speciális szaképítés m.n.s.	4399	267994000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2012";;
"																									";;
"TÉKA Könyvértékesitõ és Könyvkiadó Vállalat /Felszámolás alatt /	TÉKA Könyvértékesitõ és Könyvkiadó Vállalat /Felszámolás alatt /	1134 Budapest Váci út 19.	Gazdasági Társaság	1	10013319-2-41	Állami Vállalat	3	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Nagykereskedelem (kivéve: jármû, motorkerékpár)	46	Vegyestermékkörû nagykereskedelem	4690	551882000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2016";;
"																									";;
"TÉKA Könyvértékesitõ és Könyvkiadó Vállalat /Felszámolás alatt /	TÉKA Könyvértékesitõ és Könyvkiadó Vállalat /Felszámolás alatt /	1134 Budapest, Váci út 19.	Gazdasági Társaság	1	10013319-2-41	Állami Vállalat	3	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Nagykereskedelem (kivéve: jármû, motorkerékpár)	46	Vegyestermékkörû nagykereskedelem	4690	551882000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2011";;
"																									";;
"TÉKA Könyvértékesitõ és Könyvkiadó Vállalat /Felszámolás alatt /	TÉKA Könyvértékesitõ és Könyvkiadó Vállalat /Felszámolás alatt /	1134 Budapest XIII, Váci út 19.	Gazdasági Társaság	1	10013319-2-41	Állami Vállalat	3	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Nagykereskedelem (kivéve: jármû, motorkerékpár)	46	Vegyestermékkörû nagykereskedelem	4690	551882000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2012";;
"																									";;
"TÉKA Könyvértékesítõ és Könyvkiadó Vállalat f.a.	TÉKA Könyvértékesítõ és Könyvkiadó Vállalat f.a.	1134 Budapest, Váci út 19.	Gazdasági Társaság	1	10013319-2-41	Állami Vállalat	3	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Nagykereskedelem (kivéve: jármû, motorkerékpár)	46	Vegyestermékkörû nagykereskedelem	4690	551882000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010";;
"																									";;
"TÉKA Könyvértékesitõ és Könyvkiadó Vállalat /Felszámolás alatt /	TÉKA Könyvértékesitõ és Könyvkiadó Vállalat /Felszámolás alatt /	1134 Budapest Váci út 19.	Gazdasági Társaság	1	10013319-2-41	Állami Vállalat	3	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Nagykereskedelem (kivéve: jármû, motorkerékpár)	46	Vegyestermékkörû nagykereskedelem	4690	551882000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2014";;
"																									";;
"TÉKA Könyvértékesitõ és Könyvkiadó Vállalat /Felszámolás alatt /	TÉKA Könyvértékesitõ és Könyvkiadó Vállalat /Felszámolás alatt /	1134 Budapest XIII, Váci út 19.	Gazdasági Társaság	1	10013319-2-41	Állami Vállalat	3	Felszámolás alatt	1	Kereskedelem, gépjármûjavítás	G	Nagykereskedelem (kivéve: jármû, motorkerékpár)	46	Vegyestermékkörû nagykereskedelem	4690	551882000.00	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2013";;
"																									";;
