TARS_ROV_NEV;TARS_HOSZ_NEV;CIM_EGYBEN;TARS_TIPUS_MEGNEV;TARS_TIPUS_KOD;ADOSZAM;GAZD_FORM;GAZD_FORM_KOD;CEGALL;CEGALL_KOD;NEMGAZD_AG_MEGNEV;NEMGAZD_AG_KOD;NEMGAZD_AGAZAT_MEGNEV;NEMGAZD_AGAZAT_KOD;NEMGAZD_SZAKAGAZAT_MEGNEV;NEMGAZD_SZAKAGAZAT_KOD;JEGYZ_TOKE_ERT_HUF ;ORSZAG;ORSZAG_KOD;REGIO;REGIO_KOD;MEGYE;MEGYE_KOD ;TELEPULES;TELEPULES_KOD;ASZ_EVE
SC SZABOLCS-HAR SRL;SC SZABOLCS-HAR SRL;530130 Miercurea Ciuc (Csíkszereda), Str. Kossuth Lajos u. 21.;Gazdasági Társaság;1;99990005-0-00 ;Korlátolt Felelősségű Társaság;8;Működő;4;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;5114911.00;Románia;RO;Egyéb;8;Egyéb;21;Csíkszereda;3321;2017
MAGGO Rt. f.a.;MAGGO Termelő Részvénytársaság f.a.;Ismeretlen;Gazdasági Társaság;1;99990004-0-00 ;Részvénytársaság;15;Felszámolás alatt;1;Feldolgozóipar;C;Gép, gépi berendezés gyártása;28;M.n.s. egyéb általános rendeltetésű gép gyártása;2829;667299000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2015
Cluj Fejér Megyei International Turism SRL;Cluj Fejér Megyei International Turism SRL;400600 Cluj-Napoca (Kolozsvár) 1989 Decembrie 21. 58.;Gazdasági Társaság;1;99990001-0-00 ;N/A;11;Működő;4;Szálláshely-szolgáltatás, vendéglátás;I;Szálláshely-szolgáltatás;55;Üdülési, egyéb átmeneti szálláshely-szolgáltatás;5520;17674.00;Románia;RO;Egyéb;8;Egyéb;21;Kolozsvár;3273;2015
NEKSZT Kft.;NEKSZT Nemzeti Elektronikus Közbeszerzési Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság;1066 Budapest, Mozsár utca 16.;Gazdasági Társaság;1;25948255-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;50000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
Gemenc Zrt.;Gemenci Erdő- és Vadgazdaság Zrt.;6500., Baja, Szent Imre tér 2.;Gazdasági Társaság;1;11034438-2-03;Zártkörűen Működő Részvénytársaság;21;Működő;4;Mezőgazdaság, erdőgazdálkodás, halászat;A;Erdőgazdálkodás;2;Fakitermelés;220;1307060000.00;Magyarország;HU;Dél-Alföld régió;1;Bács-Kiskun;3;Baja;206;2014
Cluj Fejér Megyei International Turism SRL;Cluj Fejér Megyei International Turism SRL;40060 Cluj-Napoca (Kolozsvár), 1989 Decembrie 21. 58.;Gazdasági Társaság;1;99990001-0-00 ;N/A;11;Működő;4;Szálláshely-szolgáltatás, vendéglátás;I;Szálláshely-szolgáltatás;55;Üdülési, egyéb átmeneti szálláshely-szolgáltatás;5520;17674000.00;Románia;RO;Egyéb;8;Egyéb;21;Kolozsvár;3273;2013
The Hungary Initiatives Foundation;Friends of Hungary Alapítvány;1100 H Street, NW. Suite 915 Washington, DC 20005;Gazdasági Társaság;1;99990006-0-00 ;Alapítvány;2;Működő;4;Területen kívüli szervezet;U;Területen kívüli szervezet;99;Területen kívüli szervezet;9900;3388650000.00;Amerikai Egyesült Államok;US;Egyéb;8;Egyéb;21;Washington;3297;2013
Hemisphere Kockázati Tőkealap-kezelő Zrt.;Hemisphere Kockázati Tőkealap;1118 Budapest, Rétköz utca 5. IV. em.;Gazdasági Társaság;1;24315339-1-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Egyéb pénzügyi tevékenység;66;Alapkezelés;6630;4300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
Latorcai 2009 s.r.o.;Latorcai 2009 s.r.o.;943 57 Kamenín (Kéménd) Kamenín utca 57;Gazdasági Társaság;1;99990003-0-00 ;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Speciális szaképítés;43;Egyéb befejező építés m.n.s.;4339;1486150.00;Szlovákia;SK;Egyéb;8;Egyéb;21;Kéménd;3386;2013
European XFEL GmbH.;European X-Ray Free Electron Laser Facility GmbH.;22761 Hamburg, Albert-Einstein-Ring 19;Gazdasági Társaság;1;99990002-0-00;GmbH.;7;Működő;4;Területen kívüli szervezet;U;Területen kívüli szervezet;99;Területen kívüli szervezet;9900;76133.00;Németország;DE;Egyéb;8;Egyéb;21;Hamburg;27;2013
European XFEL GmbH.;European X-Ray Free Electron Laser Facility GmbH.;22761 Hamburg, Albert-Einstein-Ring 19;Gazdasági Társaság;1;99990002-0-00;GmbH.;7;Működő;4;Területen kívüli szervezet;U;Területen kívüli szervezet;99;Területen kívüli szervezet;9900;76133.00;Németország;DE;Egyéb;8;Egyéb;21;Hamburg;27;2014
SC SZABOLCS-HAR SRL;SC SZABOLCS-HAR SRL;530130 Miercurea Ciuc (Csíkszereda), Str. Kossuth Lajos u. 21.;Gazdasági Társaság;1;99990005-0-00 ;Korlátolt Felelősségű Társaság;8;Működő;4;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;5114911.00;Románia;RO;Egyéb;8;Egyéb;21;Csíkszereda;3321;2013
Hemisphere Kockázati Tőkealap-kezelő Zrt.;Hemisphere Kockázati Tőkealap;1118 Budapest, Rétköz utca 5. IV. em.;Gazdasági Társaság;1;24315339-1-41;Zártkörűen Működő Részvénytársaság;21;Működő;4;Pénzügyi, biztosítási tevékenység;K;Egyéb pénzügyi tevékenység;66;Alapkezelés;6630;4300000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2015
Kincsem Nemzeti Kft.;Kincsem Nemzeti Lóverseny és Lovas Stratégia Korlátolt Felelősségű Társaság;1101 Budapest, Albertirsai út 2-4.;Gazdasági Társaság;1;23581078-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Művészet, szórakoztatás, szabadidő;R;Sport-, szórakoztató-, szabadidős tevékenység;93;Sportlétesítmény működtetése;9311;6000000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
Kincsem Nemzeti Kft.;Kincsem Nemzeti Lóverseny és Lovas Stratégia Korlátolt Felelősségű Társaság;1101 Budapest, Albertirsai út 2-4.;Gazdasági Társaság;1;23581078-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Művészet, szórakoztatás, szabadidő;R;Sport-, szórakoztató-, szabadidős tevékenység;93;Sportlétesítmény működtetése;9311;6700000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
