TARS_ROV_NEV;TARS_HOSZ_NEV;CIM_EGYBEN;TARS_TIPUS_MEGNEV;TARS_TIPUS_KOD;ADOSZAM;GAZD_FORM;GAZD_FORM_KOD;CEGALL;CEGALL_KOD;NEMGAZD_AG_MEGNEV;NEMGAZD_AG_KOD;NEMGAZD_AGAZAT_MEGNEV;NEMGAZD_AGAZAT_KOD;NEMGAZD_SZAKAGAZAT_MEGNEV;NEMGAZD_SZAKAGAZAT_KOD;JEGYZ_TOKE_ERT_HUF ;ORSZAG;ORSZAG_KOD;REGIO;REGIO_KOD;MEGYE;MEGYE_KOD ;TELEPULES;TELEPULES_KOD;ASZ_EVE 
Leading Wind Kft. v.a.;Leading Wind Takarító és Építőipari Szolgáltató Korlátolt Felelősségű Társaság végelszámolás alatt;1157 Budapest XV, Nyírpalota utca 71. 3. em. 6.;Gazdasági Társaság;1;12480021-2-42;Korlátolt Felelősségű Társaság;8;Végelszámolás alatt;5;Adminisztratív és szolgáltatást támogató tevékenység;N;Építmény üzemeltetés, zöldterület-kezelés;81;Általános épülettakarítás;8121;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
GRAINSTORM TECH Kft. f.a.;GRAINSTORM TECH Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság felszámolás alatt;1154 Budapest Szerencs utca 172.;Gazdasági Társaság;1;13374053-2-42;Korlátolt Felelősségű Társaság;8;Felszámolás alatt;1;Feldolgozóipar;C;Fémfeldolgozási termék gyártása;25;Fémfelület-kezelés;2561;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
GRAINSTORM TECH Kft. v.a.;GRAINSTORM TECH Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság végelszámolás alatt;1154 Budapest XV, Szerencs utca 172.;Gazdasági Társaság;1;13374053-2-42;Korlátolt Felelősségű Társaság;8;Végelszámolás alatt;5;Feldolgozóipar;C;Fémfeldolgozási termék gyártása;25;Fémfelület-kezelés;2561;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
Hungaro-KOB Kft.;Hungaro-KOB Euro Trans Szállítmányozási Korlátolt Felelősségű Társaság;1239 Budapest Sodronyos utca 18.;Gazdasági Társaság;1;13398749-2-43;Korlátolt Felelősségű Társaság;8;Felszámolás alatt;1;Kereskedelem, gépjárműjavítás;G;Nagykereskedelem (kivéve: jármű, motorkerékpár);46;Fa-, építési anyag ügynöki nagykereskedelme;4613;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
Hungaro-KOB Kft. f.a.;Hungaro-KOB Euro Trans Szállítmányozási Korlátolt Felelősségű Társaság felszámolás alatt;1239 Budapest Sodronyos utca 18.;Gazdasági Társaság;1;13398749-2-43;Korlátolt Felelősségű Társaság;8;Felszámolás alatt;1;Kereskedelem, gépjárműjavítás;G;Nagykereskedelem (kivéve: jármű, motorkerékpár);46;Fa-, építési anyag ügynöki nagykereskedelme;4613;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2015
EXPO PARK Kft.;EXPO PARK Ingatlanfejlesztő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság;1101 Budapest Albertirsai út 10.;Gazdasági Társaság;1;13424309-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Saját tulajdonú, bérelt ingatlan bérbeadása, üzemeltetése;6820;3037730000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
FONCIERE POLYGONE HUNGARIA Kft.;FONCIERE POLYGONE HUNGARIA Rendezvényszervező Korlátolt Felelősségű Társaság;1072 Budapest, Rákóczi út 42. 9. em.;Gazdasági Társaság;1;13424309-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Saját tulajdonú, bérelt ingatlan bérbeadása, üzemeltetése;6820;3037730000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
EXPO PARK Kft.;EXPO PARK Ingatlanfejlesztő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság;1101 Budapest Albertirsai út 10.;Gazdasági Társaság;1;13424309-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Saját tulajdonú, bérelt ingatlan bérbeadása, üzemeltetése;6820;3037730000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
Millenium-Bau Kft. f.a.;Millenium-Bau Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság felszámolás al;1030 Budapest, Szentendrei út 36. 2. em. 14.;Gazdasági Társaság;1;11958378-2-41;Korlátolt Felelősségű Társaság;8;Felszámolás alatt;1;Szállítás, raktározás;H;Szárazföldi, csővezetékes szállítás;49;Taxis személyszállítás;4932;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
Millenium-Bau Kft.;Millenium-Bau Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság;1030 Budapest, Szentendrei út 36. 2. em. 14.;Gazdasági Társaság;1;11958378-2-41;Korlátolt Felelősségű Társaság;8;Működő;4;Szállítás, raktározás;H;Szárazföldi, csővezetékes szállítás;49;Taxis személyszállítás;4932;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
Millenium-Bau Kft.;Millenium-Bau Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság;1030 Budapest, Szentendrei út 36. 2. em. 14.;Gazdasági Társaság;1;11958378-2-41;Korlátolt Felelősségű Társaság;8;Felszámolás alatt;1;Szállítás, raktározás;H;Szárazföldi, csővezetékes szállítás;49;Taxis személyszállítás;4932;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
TRANSZ-METÁL Kft. f.a.;TRANSZ-METÁL Környezettechnikai Korlátolt Felelősségű Társaság felszámolás alatt;1083 Budapest VIII, Práter utca 59. 3. em. 45.;Gazdasági Társaság;1;13465090-2-42;Korlátolt Felelősségű Társaság;8;Felszámolás alatt;1;"Vízellátás; szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés";E;Hulladékgazdálkodás;38;Nem veszélyes hulladék gyűjtése;3811;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
AGRO-TOURMIX Kft. v.a.;AGRO-TOURMIX Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság végelszámolás alatt;1165 Budapest, Linda tér 7. 1. em. 3.;Gazdasági Társaság;1;13476454-2-42;Korlátolt Felelősségű Társaság;8;Felszámolás alatt;1;Feldolgozóipar;C;Ruházati termék gyártása;14;Munkaruházat gyártása;1412;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
INKEZ 2002 Kft.;INKEZ 2002 Ingatlankezelő, Szolgáltató, Ipari és Kereskedelmi Korlátolt Felelősségű Társaság;1102 Budapest X, Szent László tér 20.;Gazdasági Társaság;1;13476791-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
INKEZ 2002 Kft.;INKEZ 2002 Ingatlankezelő, Szolgáltató, Ipari és Kereskedelmi Korlátolt Felelősségű Társaság;1102 Budapest, Szent László tér 20.;Gazdasági Társaság;1;13476791-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
INKEZ 2002 Kft.;INKEZ 2002 Ingatlankezelő, Szolgáltató, Ipari és Kereskedelmi Korlátolt Felelősségű Társaság;1102 Budapest X, Szent László tér 20.;Gazdasági Társaság;1;13476791-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
INKEZ 2002 Kft.;INKEZ 2002 Ingatlankezelő, Szolgáltató, Ipari és Kereskedelmi Korlátolt Felelősségű Társaság;1102 Budapest X, Szent László tér 20.;Gazdasági Társaság;1;13476791-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
INKEZ 2002 Kft. kt.a.;INKEZ 2002 Ingatlankezelő, Szolgáltató, Ipari és Kereskedelmi Korlátolt Felelősségű Társaság kényszertörlés alatt;1102 Budapest Szent László tér 20.;Gazdasági Társaság;1;13476791-2-42;Korlátolt Felelősségű Társaság;8;Kényszertörlés alatt;2;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Ingatlankezelés;6832;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
MEGÉPÍTÜNK Kft. kt.a.;MEGÉPÍTÜNK Építőipari és Szolgáltató Korlátolt Felelősségű Társaság kényszertörlés alatt;1162 Budapest Baross utca 157.;Gazdasági Társaság;1;13140807-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Épületek építése;41;Lakó- és nem lakó épület építése;4120;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
MEGÉPÍTÜNK Kft.;MEGÉPÍTÜNK Építőipari és Szolgáltató Korlátolt Felelősségű Társaság;1162 Budapest XVI, Baross utca 157.;Gazdasági Társaság;1;13140807-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Épületek építése;41;Lakó- és nem lakó épület építése;4120;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
MEGÉPÍTÜNK Kft.;MEGÉPÍTÜNK Építőipari és Szolgáltató Korlátolt Felelősségű Társaság;1162 Budapest Baross utca 157.;Gazdasági Társaság;1;13140807-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Épületek építése;41;Lakó- és nem lakó épület építése;4120;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2015
MEGÉPÍTÜNK Kft. kt.a.;MEGÉPÍTÜNK Építőipari és Szolgáltató Korlátolt Felelősségű Társaság kényszertörlés alatt;1162 Budapest Baross utca 157.;Gazdasági Társaság;1;13140807-2-42;Korlátolt Felelősségű Társaság;8;Kényszertörlés alatt;2;Építőipar;F;Épületek építése;41;Lakó- és nem lakó épület építése;4120;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
MEGÉPÍTÜNK Kft.;MEGÉPÍTÜNK Építőipari és Szolgáltató Korlátolt Felelősségű Társaság;1162 Budapest, Baross u. 157.;Gazdasági Társaság;1;13140807-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Épületek építése;41;Lakó- és nem lakó épület építése;4120;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
MEGÉPÍTÜNK Kft.;MEGÉPÍTÜNK Építőipari és Szolgáltató Korlátolt Felelősségű Társaság;1162 Budapest XVI, Baross utca 157.;Gazdasági Társaság;1;13140807-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Épületek építése;41;Lakó- és nem lakó épület építése;4120;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
MEGÉPÍTÜNK Kft.;MEGÉPÍTÜNK Építőipari és Szolgáltató Korlátolt Felelősségű Társaság;1162 Budapest Baross utca 157.;Gazdasági Társaság;1;13140807-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Épületek építése;41;Lakó- és nem lakó épület építése;4120;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
MEGÉPÍTÜNK Kft.;MEGÉPÍTÜNK Építőipari és Szolgáltató Korlátolt Felelősségű Társaság;1162 Budapest XVI, Baross utca 157.;Gazdasági Társaság;1;13140807-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Épületek építése;41;Lakó- és nem lakó épület építése;4120;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
Petró-Autó Kft.;Petró-Autó Gépjármű-forgalmazó és Javító Korlátolt Felelősségű Társaság;1089 Budapest VIII, Orczy út 39. 2.em. 2.;Gazdasági Társaság;1;13495217-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Kereskedelem, gépjárműjavítás;G;Gépjármű-, motorkerékpár kereskedeleme, javítása;45;Személygépjármű-, könnyűgépjármű-kereskedelem;4511;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
Petró-Autó Kft.;Petró-Autó Gépjármű-forgalmazó és Javító Korlátolt Felelősségű Társaság;1089 Budapest, Orczy út 39. 2. em. 2.;Gazdasági Társaság;1;13495217-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Kereskedelem, gépjárműjavítás;G;Gépjármű-, motorkerékpár kereskedeleme, javítása;45;Személygépjármű-, könnyűgépjármű-kereskedelem;4511;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
Petró-Autó Kft. kt.a.;Petró-Autó Gépjármű-forgalmazó és Javító Korlátolt Felelősségű Társaság kényszertörlés alatt;1089 Budapest Orczy út 39. 2.em. 2.;Gazdasági Társaság;1;13495217-2-42;Korlátolt Felelősségű Társaság;8;Kényszertörlés alatt;2;Kereskedelem, gépjárműjavítás;G;Gépjármű-, motorkerékpár kereskedeleme, javítása;45;Személygépjármű-, könnyűgépjármű-kereskedelem;4511;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
Petró-Autó Kft. kt.a.;Petró-Autó Gépjármű-forgalmazó és Javító Korlátolt Felelősségű Társaság kényszertörlés alatt;1089 Budapest VIII, Orczy út 39. 2.em. 2.;Gazdasági Társaság;1;13495217-2-42;Korlátolt Felelősségű Társaság;8;Kényszertörlés alatt;2;Kereskedelem, gépjárműjavítás;G;Gépjármű-, motorkerékpár kereskedeleme, javítása;45;Személygépjármű-, könnyűgépjármű-kereskedelem;4511;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
Petró-Autó Kft. kt.a.;Petró-Autó Gépjármű-forgalmazó és Javító Korlátolt Felelősségű Társaság kényszertörlés alatt;1089 Budapest Orczy út 39. 2.em. 2.;Gazdasági Társaság;1;13495217-2-42;Korlátolt Felelősségű Társaság;8;Kényszertörlés alatt;2;Kereskedelem, gépjárműjavítás;G;Gépjármű-, motorkerékpár kereskedeleme, javítása;45;Személygépjármű-, könnyűgépjármű-kereskedelem;4511;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2015
Petró-Autó Kft.;Petró-Autó Gépjármű-forgalmazó és Javító Korlátolt Felelősségű Társaság;1089 Budapest VIII, Orczy út 39. 2.em. 2.;Gazdasági Társaság;1;13495217-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Kereskedelem, gépjárműjavítás;G;Gépjármű-, motorkerékpár kereskedeleme, javítása;45;Személygépjármű-, könnyűgépjármű-kereskedelem;4511;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
Clean-Clear Kft. v.a.;Clean-Clear Kereskedelmi Kft. végelszámolás alatt;1181 Budapest XVIII, Havanna utca 20.;Gazdasági Társaság;1;13509444-2-43;Korlátolt Felelősségű Társaság;8;Felszámolás alatt;1;Kereskedelem, gépjárműjavítás;G;Kiskereskedelem (kivéve: gépjármű, motorkerékpár);47;Gépjárműüzemanyag-kiskereskedelem;4730;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
Clean-Clear Kft. v.a.;Clean-Clear Kereskedelmi Kft. végelszámolás alatt;1181 Budapest XVIII, Havanna utca 20.;Gazdasági Társaság;1;13509444-2-43;Korlátolt Felelősségű Társaság;8;Felszámolás alatt;1;Kereskedelem, gépjárműjavítás;G;Kiskereskedelem (kivéve: gépjármű, motorkerékpár);47;Gépjárműüzemanyag-kiskereskedelem;4730;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
JEREMI-III Kft.;JEREMI-III. Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság;1122 Budapest, Hajnóczy J. u. 5.;Gazdasági Társaság;1;12967063-2-43;Korlátolt Felelősségű Társaság;8;Működő;4;Egyéb szolgáltatás;S;Egyéb személyi szolgáltatás;96;Fizikai közérzetet javító szolgáltatás;9604;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
JEREMI-III Kft.;JEREMI-III. Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság;1122 Budapest XII, Hajnóczy J. utca 5.;Gazdasági Társaság;1;12967063-2-43;Korlátolt Felelősségű Társaság;8;Működő;4;Egyéb szolgáltatás;S;Egyéb személyi szolgáltatás;96;Fizikai közérzetet javító szolgáltatás;9604;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
JEREMI-III Kft.;JEREMI-III. Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság;1122 Budapest XII, Hajnóczy J. utca 5.;Gazdasági Társaság;1;12967063-2-43;Korlátolt Felelősségű Társaság;8;Működő;4;Egyéb szolgáltatás;S;Egyéb személyi szolgáltatás;96;Fizikai közérzetet javító szolgáltatás;9604;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
EX PARTNER 03 Kft.;EX PARTNER 03 Ipari, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság;1134 Budapest, Kassák L. utca 52.;Gazdasági Társaság;1;12986558-2-41;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Épületek építése;41;Lakó- és nem lakó épület építése;4120;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
EX PARTNER 03 Kft.;EX PARTNER 03 Ipari, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság;1134 Budapest XIII, Kassák L. utca 52.;Gazdasági Társaság;1;12986558-2-41;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Épületek építése;41;Lakó- és nem lakó épület építése;4120;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
EX PARTNER 03 Kft. kt.a.;EX PARTNER 03 Ipari, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság kényszertörlés alat;1134 Budapest XIII, Kassák L. utca 52.;Gazdasági Társaság;1;12986558-2-41;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Épületek építése;41;Lakó- és nem lakó épület építése;4120;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
EX PARTNER 03 Kft.;EX PARTNER 03 Ipari, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság;1134 Budapest XIII, Kassák L. utca 52.;Gazdasági Társaság;1;12986558-2-41;Korlátolt Felelősségű Társaság;8;Működő;4;Építőipar;F;Épületek építése;41;Lakó- és nem lakó épület építése;4120;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
Spuri Mobil Kft.;Spuri Mobil Járműjavító Korlátolt Felelősségű Társaság;1188 Budapest Kölcsey utca 107./B.;Gazdasági Társaság;1;13535526-2-43;Korlátolt Felelősségű Társaság;8;Működő;4;Kereskedelem, gépjárműjavítás;G;Gépjármű-, motorkerékpár kereskedeleme, javítása;45;Gépjárműjavítás, -karbantartás;4520;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
K. S. ROAD Kft.;K. S. ROAD Mérnökiroda Korlátolt Felelősségű Társaság;1142 Budapest XIV, Szikszó park 12.;Gazdasági Társaság;1;13553003-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Szakmai, tudományos, műszaki tevékenység;M;"Mérnöki és építészmérnöki tevékenység; műszaki vizsgálat, elemzés";71;Mérnöki tevékenység, műszaki tanácsadás;7112;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
K. S. ROAD Kft.;K. S. ROAD Mérnökiroda Korlátolt Felelősségű Társaság;1142 Budapest XIV, Szikszó park 12.;Gazdasági Társaság;1;13553003-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Szakmai, tudományos, műszaki tevékenység;M;"Mérnöki és építészmérnöki tevékenység; műszaki vizsgálat, elemzés";71;Mérnöki tevékenység, műszaki tanácsadás;7112;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
K. S. ROAD Kft.;K. S. ROAD Mérnökiroda Korlátolt Felelősségű Társaság;1142 Budapest XIV, Szikszó park 12.;Gazdasági Társaság;1;13553003-2-42;Korlátolt Felelősségű Társaság;8;Működő;4;Szakmai, tudományos, műszaki tevékenység;M;"Mérnöki és építészmérnöki tevékenység; műszaki vizsgálat, elemzés";71;Mérnöki tevékenység, műszaki tanácsadás;7112;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
K. S. ROAD Kft. kt.a.;K. S. ROAD Mérnökiroda Korlátolt Felelősségű Társaság kényszertörlés alatt;1142 Budapest Szikszó park 12.;Gazdasági Társaság;1;13553003-2-42;Korlátolt Felelősségű Társaság;8;Kényszertörlés alatt;2;Szakmai, tudományos, műszaki tevékenység;M;"Mérnöki és építészmérnöki tevékenység; műszaki vizsgálat, elemzés";71;Mérnöki tevékenység, műszaki tanácsadás;7112;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
JA 31 Kft. f.a.;JA 31 Ingatanberuházó és -forgalmazó Korlátolt Felelősségű Társaság felszámolás alatt;1026 Budapest Garas utca 8-10., fszt.\1.ajtó;Gazdasági Társaság;1;13565011-2-41;Korlátolt Felelősségű Társaság;8;Felszámolás alatt;1;Ingatlanügyletek;L;INGATLANÜGYLETEK;68;Saját tulajdonú ingatlan adásvétele;6810;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
CITY PATROL Kft.;CITY PATROL Vagyonvédelmi Szolgáltató Korlátolt Felelősségű Társaság;1221 Budapest XXII, Kiránduló utca 8/a fszt/3.;Gazdasági Társaság;1;13575137-2-43;Korlátolt Felelősségű Társaság;8;Működő;4;Adminisztratív és szolgáltatást támogató tevékenység;N;Biztonsági, nyomozói tevékenység;80;Személybiztonsági tevékenység;8010;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
CITY PATROL Kft.;CITY PATROL Vagyonvédelmi Szolgáltató Korlátolt Felelősségű Társaság;1221 Budapest XXII, Kiránduló utca 8/a fszt/3.;Gazdasági Társaság;1;13575137-2-43;Korlátolt Felelősségű Társaság;8;Kényszertörlés alatt;2;Adminisztratív és szolgáltatást támogató tevékenység;N;Biztonsági, nyomozói tevékenység;80;Személybiztonsági tevékenység;8010;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
CITY PATROL Kft. kt.a.;CITY PATROL Vagyonvédelmi Szolgáltató Korlátolt Felelősségű Társaság kényszertörlés alatt;1221 Budapest Kiránduló utca 8/a fszt/3.;Gazdasági Társaság;1;13575137-2-43;Korlátolt Felelősségű Társaság;8;Kényszertörlés alatt;2;Adminisztratív és szolgáltatást támogató tevékenység;N;Biztonsági, nyomozói tevékenység;80;Személybiztonsági tevékenység;8010;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
BAKTOMIX Kft. v.a.;BAKTOMIX Termelő és Forgalmazó Korlátolt Felelősségű Társaság végelszámolás alatt;1117 Budapest XI, Október 23-a utca 35. 5. em. 4.;Gazdasági Társaság;1;13642127-2-43;Korlátolt Felelősségű Társaság;8;Végelszámolás alatt;5;Kereskedelem, gépjárműjavítás;G;Nagykereskedelem (kivéve: jármű, motorkerékpár);46;Vegyestermékkörű nagykereskedelem;4690;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
BAKTOMIX Kft. kt.a.;BAKTOMIX Termelő és Forgalmazó Korlátolt Felelősségű Társaság kényszertörlés alatt;1117 Budapest Október 23-a utca 35. 5. em. 4.;Gazdasági Társaság;1;13642127-2-43;Korlátolt Felelősségű Társaság;8;Kényszertörlés alatt;2;Kereskedelem, gépjárműjavítás;G;Nagykereskedelem (kivéve: jármű, motorkerékpár);46;Vegyestermékkörű nagykereskedelem;4690;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
BAKTOMIX Kft. v.a.;BAKTOMIX Termelő és Forgalmazó Korlátolt Felelősségű Társaság végelszámolás alatt;1117 Budapest XI, Október 23-a utca 35. 5. em. 4.;Gazdasági Társaság;1;13642127-2-43;Korlátolt Felelősségű Társaság;8;Végelszámolás alatt;5;Kereskedelem, gépjárműjavítás;G;Nagykereskedelem (kivéve: jármű, motorkerékpár);46;Vegyestermékkörű nagykereskedelem;4690;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
BAKTOMIX Kft. kt.a.;BAKTOMIX Termelő és Forgalmazó Korlátolt Felelősségű Társaság kényszertörlés alatt;1117 Budapest Október 23-a utca 35. 5. em. 4.;Gazdasági Társaság;1;13642127-2-43;Korlátolt Felelősségű Társaság;8;Kényszertörlés alatt;2;Kereskedelem, gépjárműjavítás;G;Nagykereskedelem (kivéve: jármű, motorkerékpár);46;Vegyestermékkörű nagykereskedelem;4690;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2015
GYETVAICAR Kft.;GYETVAICAR Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság;1134 Budapest Csángó utca 4/B., II./14.ajtó;Gazdasági Társaság;1;13648491-2-41;Korlátolt Felelősségű Társaság;8;Működő;4;Adminisztratív és szolgáltatást támogató tevékenység;N;Kölcsönzés, operatív lízing;77;Személygépjármű kölcsönzése;7711;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
ESCARGOT Consult Kft.;ESCARGOT Consult Vállalatvezetési Tanácsadó Korlátolt Felelősségű Társaság;1039 Budapest Gyula utca 62.;Gazdasági Társaság;1;13665049-2-41;Korlátolt Felelősségű Társaság;8;Működő;4;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;PR, kommunikáció;7021;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
ESCARGOT Consult Kft. kt.a.;ESCARGOT Consult Vállalatvezetési Tanácsadó Korlátolt Felelősségű Társaság kényszertörlés alatt;1039 Budapest Gyula utca 62.;Gazdasági Társaság;1;13665049-2-41;Korlátolt Felelősségű Társaság;8;Működő;4;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;PR, kommunikáció;7021;3000000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2017
