WKT,KULTHAT_ID,NEV
"MULTIPOLYGON (((443357.7 157673.7,443358.6 157674.7,444140.8 158483.9,444220.7 158811.4,443957.6 159187.6,445243.8 159493.9,445526.5 159924.5,445618.0 160195.1,445659.1 160410.7,445850.2 160530.5,446106.6 160660.1,446312.9 160800.0,446484.1 160960.0,446684.1 160594.2,446686.3 160590.2,446686.3 160590.2,446701.1 160540.0,446775.7 160369.1,447110.2 159971.6,447283.3 159373.8,447330.9 158716.4,446993.7 158436.6,446717.3 158317.2,446400.6 158152.7,446193.9 157897.5,446052.4 157617.1,445930.1 157150.9,445748.1 156800.3,445393.1 156613.1,445393.1 156613.1,445336.2 156583.1,445332.2 156581.0,445332.2 156581.0,444411.0 155883.9,443357.7 157673.7)))",11,Velemér
"MULTIPOLYGON (((443460.8 178625.9,443459.2 178629.9,443351.6 178897.1,443477.8 179062.3,443643.8 179182.2,443930.1 179251.5,444186.4 179371.1,444393.0 179581.2,444560.1 179936.9,444602.0 180353.2,444679.2 180804.5,444851 181095,445012.8 181375.4,445470.0 181539.5,445483.8 181843.7,445443.5 182032.2,445416.6 182557.3,445470.4 182692.0,445425.8 182924.5,445416.6 183100.1,445467.2 183371.9,445467.9 183375.9,445467.9 183375.9,445683.6 183375.2,446129.9 183328.6,446646.4 183296.8,447368.5 183244.3,447668.9 183092.9,447668.9 183092.9,447668.1 183088.9,447632.9 182907.3,447381.6 182782.7,447476.0 182566.6,447676.3 182505.8,447720.7 182315.0,447960.2 182023.2,448155.5 181952.3,448480.7 181760.6,448480.7 181760.6,448424.7 181565.1,448313.4 181344.7,448052.9 181420.8,448225.5 180742.9,448158.0 180226.4,448076.1 179850.3,447807.6 179224.0,447686.1 178978.5,447548.6 178512.4,447587.3 178171.1,447666.4 177914.9,447977.7 177755.4,447981.7 177753.4,447981.7 177753.4,447659.7 177513.6,447363 177359,446924.9 176959.0,446614.2 177035.2,446033.8 177383.3,445648.3 176406.2,445287.0 176377.2,445086.4 176387.9,445086.4 176387.9,445007.3 176654.1,444883.4 176990.6,444447.9 177207.8,444558.6 177297.7,445021.3 177572.2,444882.5 177949.0,444728.3 178250.5,444333.9 178683.3,443992.4 178594.0,443460.8 178625.9)))",12,Csörötnek
"MULTIPOLYGON (((443460.8 178625.9,442813.5 178582.8,442609.8 179020.0,442285.8 179512.7,442387.7 179863.6,442800.5 180198.4,443083.5 180679.2,443004.9 181065.8,443015.6 181216.3,443113.2 181737.8,443001.3 182117.3,442906.6 182306.9,443624.0 182709.5,443765.5 182929.8,444024.7 183711.7,444024.7 183711.7,444028.7 183712.7,444396.3 183805.8,444802.4 183759.3,445228.7 183742.9,445508.9 183561.4,445467.9 183375.9,445467.9 183375.9,445467.2 183371.9,445416.6 183100.1,445425.8 182924.5,445470.4 182692.0,445416.6 182557.3,445443.5 182032.2,445483.8 181843.7,445470.0 181539.5,445012.8 181375.4,444851 181095,444679.2 180804.5,444602.0 180353.2,444560.1 179936.9,444393.0 179581.2,444186.4 179371.1,443930.1 179251.5,443643.8 179182.2,443477.8 179062.3,443351.6 178897.1,443459.2 178629.9,443460.8 178625.9)))",13,Magyarlak
"MULTIPOLYGON (((443520.2 165679.3,443780.2 167585.3,443870.1 168623.5,444398.4 168635.6,444229.3 169811.3,444229.3 169811.3,444892.0 169735.5,445328.2 169699.0,445493.7 169673.3,445493.7 169673.3,445587.1 169251.6,445860.9 168769.0,446201.4 168622.4,446658.1 168661.1,446772.9 168530.3,446937.7 168374.2,447418.5 168192.0,447465.7 167514.5,448645.0 167626.1,449116.0 167499.2,449475.6 167131.8,449630.1 166890.4,449679.7 166759.8,449202.0 166510.5,449159.6 165988.8,449159.6 165988.8,449213.3 165632.4,449252.9 165511.9,449300.3 164874.5,449109.5 164840.0,449353.3 164387.7,449256.2 163966.5,449109.8 163766.3,448979.0 163661.3,448759.3 163673.5,448755.3 163673.7,448755.3 163673.7,448535.3 163860.1,448123.8 163796.4,447456.3 163713.5,447034.4 163589.5,446692.4 163359.9,446375.1 163050.0,446375.1 163050.0,446375.8 163054.0,446542.7 164055.5,446252.4 164186.9,446199.0 164603.5,446139.3 164724.1,446020.2 165010.5,445855.3 165161.5,445424.7 165348.6,445014.3 165560.6,444428 165713,443896.2 165679.6,443520.2 165679.3)))",14,Bajánsenye
"MULTIPOLYGON (((444024.7 183711.7,443563.2 183718.2,443468.8 183919.2,443635.1 184109.3,443610.7 184254.9,443677.1 184530.6,443809.3 184926.6,443906.3 185337.7,444028.3 185698.5,444346.3 186154.1,443539.9 186422.6,443581.1 186683.4,443782.8 186913.5,444347.1 187098.3,444347.1 187098.3,445010.9 188655.2,446237.5 187965.8,446817.0 187251.3,447516.9 187223.4,447516.9 187223.4,447224.0 186917.5,447478.4 186585.6,447934.9 186599.1,448053.6 186217.4,448053.6 186217.4,448051.2 186213.4,447902.1 185972.1,447800.5 185686.4,447728.8 185335.4,447737.6 185064.5,447635.6 184683.5,447860.1 184386.7,448050.0 184220.5,447988.7 183969.9,447901.9 183629.0,447689.7 183273.4,447668.9 183092.9,447668.9 183092.9,447368.5 183244.3,446646.4 183296.8,446129.9 183328.6,445683.6 183375.2,445467.9 183375.9,445467.9 183375.9,445508.9 183561.4,445228.7 183742.9,444802.4 183759.3,444396.3 183805.8,444028.7 183712.7,444024.7 183711.7)))",15,Rönök
"MULTIPOLYGON (((444390.3 174348.1,444837.5 174512.2,444417.5 174824.6,444759.8 175094.5,444575.2 175330.9,444556.3 175596.9,444572.1 175767.4,444663.2 175972.8,444779.3 176138.0,444995.4 176212.6,445084.3 176383.9,445086.4 176387.9,445086.4 176387.9,445287.0 176377.2,445648.3 176406.2,446033.8 177383.3,446614.2 177035.2,446924.9 176959.0,447363 177359,447659.7 177513.6,447981.7 177753.4,447981.7 177753.4,448401.7 177425.9,448778.7 177615.3,449139.9 177609.1,449465.2 177442.5,449887.6 177661.9,450258.7 177640.7,450713.9 177358.2,451089.3 177166.4,451334.8 177100.3,451746.1 177084.0,451746.1 177084.0,451742.7 177080.0,451428.5 176713.7,451340.6 176127.0,451243.6 175735.9,451192.1 175415.0,451190.3 175013.6,451190.3 175013.6,451293.6 174531.6,451317.4 174250.5,451355.7 174139.0,451357.1 174135.0,451357.1 174135.0,451181.4 174110.5,450864.4 173900.8,450638.4 173831.3,450212.0 173832.6,449905.9 173798.5,449609.4 173684.0,449347.9 173529.3,448901.3 173485.6,448500.6 173627.4,448351.6 173979.1,448070.6 173964.9,447986.4 174211.1,447941.7 174311.6,447756.5 174397.4,447250.1 174449.3,447138.8 174238.9,447138.8 174238.9,447134.8 174242.3,446923.9 174420.2,446823.6 174435.6,446607.7 174396.1,446085.9 174367.7,445844.9 174323.3,445593.0 174073.3,445125.7 173874.1,444674.9 174031.1,444393.9 174344.1,444390.3 174348.1)))",16,Kondorfa
"MULTIPOLYGON (((445224.9 162672.7,445271.5 163018.8,445501.9 162942.7,445772.7 162911.6,446375.1 163050.0,446375.1 163050.0,446692.4 163359.9,447034.4 163589.5,447456.3 163713.5,448123.8 163796.4,448535.3 163860.1,448755.3 163673.7,448755.3 163673.7,449024.4 163236.2,449319.4 163009.4,449690.6 162988.0,450091.9 163006.6,450091.9 163006.6,450476.6 162618.9,450796.6 162356.8,450942.0 162381.3,450942.0 162381.3,450927.1 161763.5,450845.3 161412.6,450544.4 161423.6,450224.2 161635.3,449963.3 161626.1,449862.0 161390.6,449765.5 161130.1,449587.3 160503.5,448960.4 160550.6,448960.4 160550.6,448896.3 160796.7,448957.9 161127.6,448964.3 161443.7,448229.0 161532.6,448225.0 161533.1,448225.0 161533.1,448482.2 161873.4,448262.9 162230.4,447977.7 162412.0,447601.8 162483.6,447270.9 162530.0,447065.6 162621.0,446739.3 162556.9,446497.9 162397.2,446220.8 162092.2,445994.2 161862.1,445708 161808,445417.7 161949.5,445328.0 162105.4,445284.3 162466.8,445224.9 162672.7)))",17,Magyarföld
"MULTIPOLYGON (((445393.1 156613.1,445748.1 156800.3,445930.1 157150.9,446052.4 157617.1,446193.9 157897.5,446400.6 158152.7,446717.3 158317.2,446993.7 158436.6,447330.9 158716.4,447283.3 159373.8,447110.2 159971.6,446775.7 160369.1,446701.1 160540.0,446686.3 160590.2,446686.3 160590.2,446912.7 160750.0,446914.4 161171.5,447090.2 161246.1,447326.5 161380.7,447437.5 161545.9,447667.9 161444.7,448225.0 161533.1,448225.0 161533.1,448229.0 161532.6,448964.3 161443.7,448957.9 161127.6,448896.3 160796.7,448960.4 160550.6,448960.4 160550.6,448964.4 160547.4,449325.3 160258.4,449444.6 159997.2,449765.1 159880.7,450210.9 159713.7,450620.8 159381.3,450675.1 159185.4,450753.6 158793.8,450752.2 158472.7,450997.6 158376.6,451445.1 158380.1,451449.1 158380.1,451449.1 158380.1,451176.4 157949.5,451666.4 157596.7,451666.4 157596.7,451514.9 157361.4,451338.5 157161.3,451142.6 157111.7,451126.6 156881.0,451009.8 156550.2,450639.0 156651.7,450509.9 156958.2,450309.7 157074.3,450214.2 157029.4,449595.9 155576.4,449559 155155,449667.7 154768.3,449470.5 154407.7,449409.3 154182.1,449392.4 153750.7,449340.3 153509.8,449340.3 153509.8,448669.5 153692.2,448669.5 153692.2,445149.0 154649.1,446082.6 155425.9,445393.1 156613.1)))",18,Szentgyörgyvölgy
"MULTIPOLYGON (((447245.3 146222.9,446712.9 146750.7,446922.8 149735.9,447359.8 149674.6,447359.8 149674.6,448928.6 149454.3,448928.6 149454.3,448620.1 149192.4,448308.6 149083.0,448393.1 148887.0,448652.9 148645.4,448937.9 148433.7,448921.0 148342.1,448921.0 148342.1,448901.9 148238.2,448841.2 148123.0,448744.7 147857.3,448598.1 147591.9,448320.9 147291.7,448153.7 146895.9,447901.2 146525.4,447571.9 145905.1,447569.8 145901.1,447569.8 145901.1,447245.3 146222.9)))",19,Bödeháza
"MULTIPOLYGON (((447516.9 187223.4,448482.2 187749.5,449816.2 187838.9,450263.4 187005.9,451041.2 186383.5,451041.2 186383.5,450771.2 185912.7,450771.2 185912.7,450645.8 185918.1,450459.8 185843.4,450028.1 185754.5,449606.3 185670.6,449606.3 185670.6,449234.6 185561.4,448898.5 185552.4,448778.6 185668.2,448609.1 185904.6,448393.8 185995.6,448053.6 186217.4,448053.6 186217.4,447934.9 186599.1,447478.4 186585.6,447224.0 186917.5,447516.9 187223.4)))",20,Nemesmedves
"MULTIPOLYGON (((447569.8 145901.1,447571.9 145905.1,447901.2 146525.4,448153.7 146895.9,448320.9 147291.7,448598.1 147591.9,448744.7 147857.3,448841.2 148123.0,448901.9 148238.2,448921.0 148342.1,448921.0 148342.1,448925.0 148342.5,449298.4 148375.9,449298.4 148375.9,449313.8 148377.3,449686.5 147568.3,449259.3 147374.0,449496.9 146640.7,449235.5 146511.1,449580.2 146173.8,449804.7 145907.2,449979.7 145771.2,450220 145655,449972.3 145209.2,449895.7 144913.5,449854.7 144702.9,449798 144270,449797.5 144266.0,449797.5 144266.0,449098.6 144385.5,449098.6 144385.5,447569.8 145901.1)))",21,Gáborjánháza
"MULTIPOLYGON (((447668.9 183092.9,447689.7 183273.4,447901.9 183629.0,447988.7 183969.9,448050.0 184220.5,447860.1 184386.7,447635.6 184683.5,447737.6 185064.5,447728.8 185335.4,447800.5 185686.4,447902.1 185972.1,448051.2 186213.4,448053.6 186217.4,448053.6 186217.4,448393.8 185995.6,448609.1 185904.6,448778.6 185668.2,448898.5 185552.4,449234.6 185561.4,449606.3 185670.6,449606.3 185670.6,449605.3 185666.6,449345.9 184622.8,449891.2 184274.8,449974.6 183838.0,449903.2 183562.3,449637.1 183528.1,449615.9 183257.2,449304.3 183122.7,449411.8 182470.1,448814.8 182457.0,448872.8 181950.0,448962.9 181899.6,448962.9 181899.6,448958.9 181898.4,448484.7 181761.8,448480.7 181760.6,448480.7 181760.6,448155.5 181952.3,447960.2 182023.2,447720.7 182315.0,447676.3 182505.8,447476.0 182566.6,447381.6 182782.7,447632.9 182907.3,447668.1 183088.9,447668.9 183092.9)))",22,Vasszentmihály
"MULTIPOLYGON (((447981.7 177753.4,447977.7 177755.4,447666.4 177914.9,447587.3 178171.1,447548.6 178512.4,447686.1 178978.5,447807.6 179224.0,448076.1 179850.3,448158.0 180226.4,448225.5 180742.9,448052.9 181420.8,448313.4 181344.7,448424.7 181565.1,448480.7 181760.6,448480.7 181760.6,448484.7 181761.8,448958.9 181898.4,448962.9 181899.6,448962.9 181899.6,449022.7 181819.1,448991.9 181638.6,448925.6 181392.9,449075.5 181267.0,449270.9 181211.2,449481.9 181270.7,449478.2 181576.8,449724.8 181766.7,449976.2 181891.3,450266.2 181674.6,450567.2 181678.7,450660.9 181312.1,450515.0 181222.3,450543.2 181035.8,450618.6 180810.5,450969.1 180668.9,451111.0 180994.6,451062.2 181315.8,451493.6 181314.4,451572.4 180978.0,451905.5 181438.5,452148.828 181485.8445,452148.828 181772.8965,452414.62 181666.5805,452552.828 182155.6325,452956.832 181996.1605,452882.408 181092.4765,452966.3 180838.1,452749.0 180462.5,452556.4 180011.5,452127.7 179466.0,451868.5 178694.2,451887.3 178403.1,451689.5 177917.0,451746.1 177084.0,451746.1 177084.0,451334.8 177100.3,451089.3 177166.4,450713.9 177358.2,450258.7 177640.7,449887.6 177661.9,449465.2 177442.5,449139.9 177609.1,448778.7 177615.3,448401.7 177425.9,447981.7 177753.4)))",23,Rábagyarmat
