WKT,TELEPULESE,MEGYE_NEV,TELNEV,IR_SZAM,KERULET,CIM,POLGM_NEV,POLGMBEO,TEL,FAX,TELEX,JEGYZONEV,JEGYZOBEO,TEL_STATUS,KSH_KOD
"POINT (662967.9 226888.7)",913,PEST MEGYE,Gyál,2360,,Kôrösi u.114.,GYIMESI ISTVÅN,POLGÅRMESTER,147-3960,147-3960,,betöltetlen,jegyzô betöltetlen,község,25627
"POINT (515574.916 159989.265)",914,ZALA MEGYE,Gyenesdiás,8315,,Kossuth Lajos u. 77.,SZALòKI JENº,POLGÅRMESTER,(92)374-507,(92)374-550,,Dr. Kardos József,jegyzô,község,23302
"POINT (519358.7 190235.5)",915,VESZPRÉM MEGYE,Gyepükaján,8473,,Kossuth u. 8,KOPECSKò DÉNES,POLGÅRMESTER,(87)356-240,,,,,község,28671
"POINT (619467.4 249850.6)",916,KOMÁROM-ESZTERGOM MEGYE,Gyermely,2821,,Petôfi tér 1.,SÅROS GYÖRGY,POLGÅRMESTER,(34)370-421,,,dr. Osvald Lajos,jegyzô betöltetlen,község,06521
"POINT (492243.3 101048.6)",917,SOMOGY MEGYE,Gyékényes,8851,,Szabadság tér 27.,CSORDÅS JòZSEF,POLGÅRMESTER,279,,,Dr. Iváncsics Nándor,jegyzô,község,30960
"POINT (785693.1 177907.6)",918,BÉKÉS MEGYE,Gyomaendrõd,5501,,Szabadság tér 1.,DR. FRANKò KÅROLY,POLGÅRMESTER,(66)362-155,,83617 tangy h,Csorba Csaba,jegyzô,város,33455
"POINT (582719.6 73064.9)",919,BARANYA MEGYE,Gyód,7668,,Fô u. 69.,IFJ. SCHMIDT FERENC,POLGÅRMESTER,(72)332-505,,,,,község,18315
"POINT (498016.508 240566.01)",920,GYÕR-MOSON-SOPRON MEGYE,Gyóró,9363,,Fô u. 7.,ÖTVÖS LÅSZLò,POLGÅRMESTER,Gyóró 223,,,Kiss Zoltánné,jegyzô,község,23843
"POINT (538378.9 240434.0)",921,GYÕR-MOSON-SOPRON MEGYE,Gyömöre,9124,,Rózsa Ferenc u. 10.,HORVÅTH SÅNDOR,POLGÅRMESTER,(96)361-370,(96)361-370,,Horváth Attiláné,jegyzô betöltetlen,község,20400
"POINT (676426.3 231235.4)",922,PEST MEGYE,Gyömrõ,2230,,Szabadság tér 1.,GARÅDI ISTVÅN,POLGÅRMESTER,Gyömrô 47,,,Varga Ernô,jegyzô,község,29735
"POINT (565075.6 69071.4)",923,BARANYA MEGYE,Gyöngyfa,7954,,Petôfi u. 18.,KOVÅCSEVICS LÅSZLò,POLGÅRMESTER,(70)340-020,,,,,község,28404
"POINT (716130.9 271276.0)",924,HEVES MEGYE,Gyöngyös,3200,,Fô tér 13.,SZABò GYULA,POLGÅRMESTER,(37)313-081,(37)313-030,285281 vtgy h,Dr. Kömley Károly,jegyzô,város,05236
"POINT (464108.2 221906.3)",925,VAS MEGYE,Gyöngyösfalu,9723,,Petôfi Sándor u. 126.,TAR JÅNOS,POLGÅRMESTER,(94)368-107,,,,,község,11943
"POINT (715590.9 266810.4)",926,HEVES MEGYE,Gyöngyöshalász,3212,,Fô u. 49.,HEGEDE JòZSEF,POLGÅRMESTER,(37)311-099,,,Tóth Mihály,jegyzô,község,17534
"POINT (545716.4 72146.3)",927,BARANYA MEGYE,Gyöngyösmellék,7972,,Szabadság tér 3.,TòTH JòZSEF,POLGÅRMESTER,nincs adat,,,,,község,22664
"POINT (713368.3 276213.4)",928,HEVES MEGYE,Gyöngyösoroszi,3211,,Kossuth u. 147,TòTH TIBORNÉ,POLGÅRMESTER,(37)312-365,,,Szecskô Lászlóné,jegyzô,község,13338
"POINT (704909.2 276583.7)",929,HEVES MEGYE,Gyöngyöspata,3035,,Fô út 65.,MOLNÅR KÅROLY,POLGÅRMESTER,(37)364-142,,,Gubancsik László,jegyzô,község,08323
"POINT (716449.0 274888.9)",930,HEVES MEGYE,Gyöngyössolymos,3231,,Szabadság u. 139.,LUKÅCS LÅSZLò,POLGÅRMESTER,(37)311-902,,,Majoros Ottóné dr.,jegyzô,község,19123
"POINT (711278.4 274656.8)",931,HEVES MEGYE,Gyöngyöstarján,3036,,Jókai tér 3.,SZAMOSVÖLGYI PÉTER,POLGÅRMESTER,(37)311-930,,,Tihanyi Miklósné,jegyzô betöltetlen,község,28088
"POINT (606253.7 135269.1)",932,TOLNA MEGYE,Gyönk,7064,,Ady E. u. 561.,FEKETE JòZSEF,POLGÅRMESTER,(74)387-117,,,Farkas Géza,körjegyzô,község,30289
"POINT (600095.4 105874.9)",933,TOLNA MEGYE,Györe,7352,,Petôfi u. 12.,CSOMA JòZSEF,POLGÅRMESTER,Györe 1,,,Szalmáné dr. Keszler Teréz,jegyzô,község,25539
"POINT (842134.6 321092.5)",934,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Györgytarló,3954,,Széchenyi u. 7.,GOMBOS BÉLA,POLGÅRMESTER,Kenézlô 35,,,Tarr László,jegyzô betöltetlen,község,05069
"POINT (623217.5 143585.2)",935,TOLNA MEGYE,Györköny,7045,,Fô u. 52.,ROHN MÅTYÅS,POLGÅRMESTER,(75)333-122,,,Bálint Gergely,jegyzô,község,12326
"POINT (544692.7 261418.7)",936,GYÕR-MOSON-SOPRON MEGYE,Gyõr,9021,,Városház tér 1.,BALOGH JòZSEF,POLGÅRMESTER,(96)310-666,(96)311-606,24439 gymtv h,Dr. Kovács Lajos,jegyzô,megyei jogú város,25584
"POINT (556968.983 239408.22)",937,GYÕR-MOSON-SOPRON MEGYE,Gyõrasszonyfa,9093,,Hunyadi tér 18.,VALICZKò MIHÅLY,POLGÅRMESTER,(96)377-018,(96)377-018,,Rákli Lászlóné,jegyzô betöltetlen,község,08721
"POINT (538659.8 269036.9)",938,GYÕR-MOSON-SOPRON MEGYE,Gyõrladamér,9173,,Szent István u. 41.,KETTINGER JÅNOS,POLGÅRMESTER,(96)352-016,(96)352-016,,Zakár Andrásné,jegyzô,község,13198
"POINT (879836.8 342584.0)",939,SZABOLCS-SZATMÁR-BEREG MEGYE,Gyõröcske,4626,,Váci u. 25.,BATÅRI FERENC ISTVÅN,POLGÅRMESTER,nincs adat,,,,,község,28945
"POINT (552634.0 248731.4)",940,GYÕR-MOSON-SOPRON MEGYE,Gyõrság,9084,,Ország u. 75.,BALOGH MIHÅLY,POLGÅRMESTER,(96)370-063,(96)370-063,,Farkas Károlyné,jegyzô,község,31316
"POINT (524625.928 262125.27)",941,GYÕR-MOSON-SOPRON MEGYE,Gyõrsövényház,9161,,Petôfi u. 100.,HOKSTOK IMRE,POLGÅRMESTER,Gyôrsövényháza 1,,,betöltetlen,körjegyzô betöltetlen,község,19309
"POINT (538313.9 246334.1)",942,GYÕR-MOSON-SOPRON MEGYE,Gyõrszemere,9121,,Fô u. 20.,NAGY FERENC,POLGÅRMESTER,(96)378-344,,,Böjte József,jegyzô,község,15653
"POINT (903429.1 292860.3)",943,SZABOLCS-SZATMÁR-BEREG MEGYE,Gyõrtelek,4752,,Szabolcsi Épitôk u. 11.,BÉTÉRI GYÖRGY,POLGÅRMESTER,(44)357-303,,,Tóth Károly,körjegyzô,község,10126
"POINT (541985.9 265232.4)",944,GYÕR-MOSON-SOPRON MEGYE,Gyõrújbarát,9081,,Tanácsház u. 1.,FÜLÖP IMRE,POLGÅRMESTER,(96)355-044,(96)355-044,,Komjáti János,jegyzô,község,07481
"POINT (544267.477 252732.345)",945,GYÕR-MOSON-SOPRON MEGYE,Gyõrújfalu,9171,,Ady Endre u. 7.,DR. SÅRY ISTVÅN,POLGÅRMESTER,(96)318-406,(96)318-406,,Rákóczi Lászlóné Papp Tünde,jegyzô,község,31787
"POINT (481985.6 185144.7)",946,VAS MEGYE,Gyõrvár,9821,,Balogh Ådám u. 85.,PINTYºKE ISTVÅN,POLGÅRMESTER,(94)373-017,,,Somogyiné Jakab Ildikó,körjegyzô,község,09724
"POINT (540038.3 267451.2)",947,GYÕR-MOSON-SOPRON MEGYE,Gyõrzámoly,9172,,Rákóczi u. 45.,HORVÅTH GÅBOR,POLGÅRMESTER,(96)352-122,(96)352-122,,Dr. Szakács Imre,jegyzô,község,15228
"POINT (545680.5 150699.8)",948,SOMOGY MEGYE,Gyugy,8692,,Petôfi u. 18.,JELENKA GYÖRGY,POLGÅRMESTER,Szôlôsgyörök 10,,,,,község,23904
"POINT (820988.2 147363.8)",949,BÉKÉS MEGYE,Gyula,5700,,Petôfi tér 3.,LEBENSZKY ATTILA,POLGÅRMESTER,(66)362-155,(66)362-543,83219 vtgy h,Dr. Lúczi József,jegyzô,város,05032
"POINT (878122.9 314701.3)",950,SZABOLCS-SZATMÁR-BEREG MEGYE,Gyulaháza,4545,,Petôfi u. 27.,BARDI BÉLA,POLGÅRMESTER,Gyulaháza 1,,,Pappné Vass Erzsébet,jegyzô,község,07676
"POINT (591941.0 129508.7)",951,TOLNA MEGYE,Gyulaj,7227,,Szent Imre tér 1.,MÜLLER MÅRTON,POLGÅRMESTER,(74)385-066,,,Hetesi Jánosné,jegyzô,község,30359
"POINT (530579.4 170575.0)",952,VESZPRÉM MEGYE,Gyulakeszi,8286,,Kossuth u. 55.,TòTH JòZSEF,POLGÅRMESTER,(86)311-371,,,,,község,09520
"POINT (626636.2 225095.7)",953,FEJÉR MEGYE,Gyúrõ,2464,,Rákóczi u. 49.,Balázs József,POLGÅRMESTER,(22)378-509,,,Világi Jánosné,jegyzô,község,15918
"POINT (913109.2 292584.5)",954,SZABOLCS-SZATMÁR-BEREG MEGYE,Gyügye,4733,,Fô út. 72.,KISS FERENC,POLGÅRMESTER,2,,,,,község,19558
"POINT (889578.7 319338.7)",955,SZABOLCS-SZATMÁR-BEREG MEGYE,Gyüre,4812,,Årpád u. 138.,ZSOLDOS FERENC,POLGÅRMESTER,Gyüre 2,,,Bátori Gábor,jegyzô,község,33774
"POINT (493452.1 173137.3)",956,ZALA MEGYE,Gyûrüs,8932,,Hunyadi János tér 1.,NAGY-KOLOZSVÅRI ISTVÅN ELºD,POLGÅRMESTER,(92)364-052,,,,,község,12539
"POINT (471408.6 176373.4)",957,ZALA MEGYE,Hagyárosbörönd,8992,,Bagod Kossuth L. u. 13.,MOLNÅR IMRE SÅNDOR,POLGÅRMESTER,(92)360-018,,,Császár László,jegyzô,község,10931
"POINT (486887.856 146590.3)",958,ZALA MEGYE,Hahót,8771,,Deák Ferenc u. 63.,SZABò JòZSEF,POLGÅRMESTER,Hahót 1,,,Csizmadia Istvánné,jegyzô,község,10269
"POINT (847495.1 230982.4)",959,HAJDU-BIHAR MEGYE,Hajdúbagos,4273,,Nagy u. 93.,L. SZABò LAJOS,POLGÅRMESTER,(52)374-122,,,Dr. Balla György,jegyzô,község,26170
"POINT (835177.0 261562.5)",960,HAJDU-BIHAR MEGYE,Hajdúböszörmény,4221,,Bocskai tér 1.,DR. LÅZÅR IMRE,POLGÅRMESTER,(55)371-217,(55)371-218,72376 jjvt h,dr. Vecsey Sándor,jegyzô,város,03045
"POINT (833562.8 277710.2)",961,HAJDU-BIHAR MEGYE,Hajdúdorog,4087,,Tokaji u.4.,KUJBUS MIHÅLY,POLGÅRMESTER,(55)382-580,(55)382-580,,Dr. Urgyán Ilona,jegyzô,város,12803
"POINT (846807.6 263059.4)",962,HAJDU-BIHAR MEGYE,Hajdúhadház,4243,,Bocskai tér 1.,BÉRES LÅSZLò,POLGÅRMESTER,(52)384-103,(52)384-010,,Vincze András,jegyzô,város,10393
"POINT (827940.4 280640.9)",963,HAJDU-BIHAR MEGYE,Hajdúnánás,4080,,Köztársaság tér 1.,DR. ÉLES ANDRÅS,POLGÅRMESTER,(55)381-411,(55)382-176,72349 nanas h,Medgyesiné Dr. Gombos Éva,jegyzô,város,22406
"POINT (853896.6 254952.6)",964,HAJDU-BIHAR MEGYE,Hajdúsámson,4251,,Szabadság tér 5.,HAMZA GÅBOR,POLGÅRMESTER,Hajdúsámson 1,Hajdúsámson 31,,Bagolyné Szûcs Mariann,jegyzô,község,31097
"POINT (826956.8 236187.1)",965,HAJDU-BIHAR MEGYE,Hajdúszoboszló,4200,,Hôsök tere 1.,DR. SòVÅGò LÅSZLò,POLGÅRMESTER,(52)362-540,(52)362-376,72379 jjvt h,Dr. Vincze Ferenc,jegyzô,város,05175
"POINT (833552.3 230635.1)",966,HAJDU-BIHAR MEGYE,Hajdúszovát,4212,,Hôsök tere 1.,HADHÅZI LÅSZLò,POLGÅRMESTER,(52)361-036,(52)361-036,,Vajnáné Angyal Magdolna,jegyzô,község,17473
"POINT (561991.4 103936.8)",967,SOMOGY MEGYE,Hajmás,7473,,Templom tér 1.,HATLER JÅNOS,POLGÅRMESTER,(82)370-752,,,,,község,25830
"POINT (572341.8 200847.2)",968,VESZPRÉM MEGYE,Hajmáskér,8192,,Kossuth u. 57.,HORNYÅK FERENC,POLGÅRMESTER,(88)360-041,(88)360-041,,Hornyák Ferenc,körjegyzô,község,15361
"POINT (655607.1 117159.6)",969,BÁCS-KISKUN MEGYE,Hajós,6344,,Rákóczi u. 12.,SCHºN FERENC,POLGÅRMESTER,(78)361-821,,26392 hajta h,Mendler Mátyásné,jegyzô,község,18759
"POINT (470191.9 181187.3)",970,VAS MEGYE,Halastó,9814,,Somogyi u. 3.,KONDORA LAJOS,POLGÅRMESTER,Halastó 1,,,,,község,29452
"POINT (521207.5 284287.1)",971,GYÕR-MOSON-SOPRON MEGYE,Halászi,9228,,Kossuth Lajos u. 38.,FRANK LAJOS,POLGÅRMESTER,(98)315-349,(98)315-349,,Varga Miklósné,jegyzô,község,26790
"POINT (644860.0 224501.5)",972,PEST MEGYE,Halásztelek,2314,,Postaköz u. 1.,STOFFÅN ANTAL,POLGÅRMESTER,(24)374-414,,,Dr. Bozsik József,jegyzô,község,09690
"POINT (535070.4 188778.2)",973,VESZPRÉM MEGYE,Halimba,8452,,Petôfi u. 16.,GHICZY LÅSZLò,POLGÅRMESTER,Halimba 3,,,Dr. Babos István,körjegyzô,község,07898
"POINT (794955.2 324427.3)",974,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Halmaj,3842,,Kossuth L. u. 1.,TòTH JòZSEF,POLGÅRMESTER,(46)474-122,,,Szántó Lászlóné,körjegyzô,község,27942
"POINT (724982.3 269079.3)",975,HEVES MEGYE,Halmajugra,3273,,Kossuth út 163.,GODò FERENCNÉ,POLGÅRMESTER,(37)362-411,,,Virág János,jegyzô,község,11411
"POINT (460893.3 183762.4)",976,VAS MEGYE,Halogy,9917,,Petôfi u. 41.,DOMINICS SÅNDOR,POLGÅRMESTER,Halogy 1,,,,,község,10676
"POINT (782451.3 328787.4)",977,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Hangács,3795,,Szabadság u. 21.,KOLLÅTH TAMÅS,POLGÅRMESTER,(46)399-220,,,Dr. Kardos Sándor,körjegyzô,község,11226
"POINT (735656.5 321238.4)",978,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Hangony,3626,,Rákóczi u. 169/a,HANGONYI LÅSZLò,POLGÅRMESTER,Hangony 1,,,Papp Arzén,jegyzô,község,25104
"POINT (623482.3 183377.0)",979,FEJÉR MEGYE,Hantos,2434,,Nagylóki út 3.,VIRÅG JòZSEF,POLGÅRMESTER,Hantos 1,,,betöltetlen,jegyzô betöltetlen,község,23427
"POINT (461205.664 192685.71)",980,VAS MEGYE,Harasztifalu,9784,,Fô u. 29.,VÅMOS LÅSZLò,POLGÅRMESTER,Harasztifalu 2,,,,,község,05713
"POINT (617307.8 117615.9)",981,TOLNA MEGYE,Harc,7172,,Fô u. 59.,HORVÅTH JÅNOS,POLGÅRMESTER,(74)337-030,,,Dr. Fábián László,jegyzô,község,14164
"POINT (466182.2 257233.9)",982,GYÕR-MOSON-SOPRON MEGYE,Harka,9422,,Nyéki u. 34.,TÖRKEI ISTVÅN,POLGÅRMESTER,(99)315-513,(99)315-513,,Tejmel Teréz,jegyzô,község,07649
"POINT (693002.4 124494.2)",983,BÁCS-KISKUN MEGYE,Harkakötöny,6136,,Kossuth u. 1.,TOBAK CSABA,POLGÅRMESTER,Harkakötöny 22,,26926 ktvb h,Dr. Tallós Bálint,jegyzô,község,08350
"POINT (586841.5 56658.0)",984,BARANYA MEGYE,Harkány,7815,,Kossuth L. u. 2.,BÉDY ISTVÅN,POLGÅRMESTER,(72)380-501,,12623 hatan h,Loószné dr. Kiefer Éva,jegyzô,község,21528
