WKT,TELEPULESE,MEGYE_NEV,TELNEV,IR_SZAM,KERULET,CIM,POLGM_NEV,POLGMBEO,TEL,FAX,TELEX,JEGYZONEV,JEGYZOBEO,TEL_STATUS,KSH_KOD
"POINT (610046.8 187639.0)",1,FEJÉR MEGYE,Aba,8127,,Rákóczi u. 12.,KOSSA LAJOS,POLGÅRMESTER,(22)360-002,(22)360-002,,Szabóné Balogh Bernadett,jegyzô,község,17376
"POINT (577946.1 89280.8)",2,BARANYA MEGYE,Abaliget,7678,,Kossuth L u. 87.,DR. TARAI LAJOS,POLGÅRMESTER,(72)378-445,,,Dr. Antlfinger István,jegyzô,község,12548
"POINT (721963.7 273880.3)",3,HEVES MEGYE,Abasár,3261,,Fô tér 1.,JUHÅSZ BÉLA,POLGÅRMESTER,(37)360-011,,,Nagy Hilda,jegyzô,község,24554
"POINT (812129.2 331508.2)",4,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Abaújalpár,3882,,Vöröscsillag u. 11.,RÅCZ JÅNOSNÉ,POLGÅRMESTER,nincs adat,,,,,község,15662
"POINT (809795.6 331138.3)",5,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Abaújkér,3882,,Rákóczi u. 26.,PALKò JòZSEF,POLGÅRMESTER,Abaújkér 221,,,,,község,26718
"POINT (791113.0 341953.5)",6,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Abaújlak,3815,,Fô u. 82.,HOBLYÅK ALBERTNÉ,POLGÅRMESTER,Gadna 1,,,,,község,02820
"POINT (808664.6 328230.8)",7,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Abaújszántó,3881,,Béke u. 51.,SòHAJDA SÅNDOR,POLGÅRMESTER,19,,,Kottner Erzsébet,jegyzô,község,03595
"POINT (792853.4 338292.6)",8,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Abaújszolnok,3809,,Béke u. 4.,BÅKI FERENC,POLGÅRMESTER,Selyeb 2,,,,,község,26338
"POINT (817486.0 356056.1)",9,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Abaújvár,3898,,Petôfi u. 4.,SIVÅK TAMÅS,POLGÅRMESTER,(46)388-082,,,Szabóné Fehér Mária,körjegyzô,község,02273
"POINT (767214.3 237868.5)",10,JÁSZ-NAGYKUN-SZOLNOK MEGYE,Abádszalók,5241,,Deák Ferenc út 12.,BORDÅS IMRE,POLGÅRMESTER,(59)355-144,(59)355-144,,Marek György,jegyzô,község,12441
"POINT (537063.3 262435.3)",11,GYÕR-MOSON-SOPRON MEGYE,Abda,9151,,Szent István u. 20.,SOMOGYI GYÖRGY,POLGÅRMESTER,(96)350-100,(96)350-100,,Dr. Bartha Csaba,körjegyzô,község,11882
"POINT (779264.2 340288.0)",12,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Abod,3753,,Magyar út 42.,ABODI JÅNOS,POLGÅRMESTER,Abod 1,,,Antal Attila,körjegyzô,község,10357
"POINT (722916.8 205512.5)",13,PEST MEGYE,Abony,2740,,Kossuth tér 1.,GAJDOS ISTVÅN,POLGÅRMESTER,(53)311-627,,,Varga Sándorné,jegyzô,város,27872
"POINT (675416.7 272415.4)",14,PEST MEGYE,Acsa,2683,,Kossuth u. 97.,BOBòS JÅNOS,POLGÅRMESTER,(27)340-033,,,Dr. Kriston Lajos,jegyzô,község,18573
"POINT (511704.832 260259.39)",15,GYÕR-MOSON-SOPRON MEGYE,Acsalag,9168,,Fô u. 75.,NAGY JòZSEF,POLGÅRMESTER,Acsalag 1,,,,,község,33385
"POINT (475386.28 222555.04)",16,VAS MEGYE,Acsád,9746,,Béke u. 10.,KOVÅCS LÅSZLò,POLGÅRMESTER,(94)355-001,,,betöltetlen,jegyzô,község,07214
"POINT (719869.2 261329.7)",17,HEVES MEGYE,Adács,3292,,Szabadság tér 1.,FODOR LAJOS,POLGÅRMESTER,Adács 1,,,Dr. Szigeti Ferenc,jegyzô,község,23241
"POINT (535885.7 218724.7)",18,VESZPRÉM MEGYE,Adásztevel,8561,,Årpád u. 22.,PATAK KÅROLY,POLGÅRMESTER,Adásztevel 1,,,Márkus Gyula,jegyzô,község,07302
"POINT (636012.5 197144.0)",19,FEJÉR MEGYE,Adony,2457,,Bajcsy-Zs. u. 5.,IGLòDI ISTVÅN,POLGÅRMESTER,ADONY 9,,,Farkas János,jegyzô,község,08925
"POINT (513378.5 212519.8)",20,VESZPRÉM MEGYE,Adorjánháza,8497,,Fô u. 26.,FÜLÖP ENDRE,POLGÅRMESTER,Adorjánháza 3,,,,,község,31307
"POINT (573502.6 56736.3)",21,BARANYA MEGYE,Adorjás,7841,,Petôfi u. 38.,TòTH GYULA,POLGÅRMESTER,Adorjás 2,,,,,község,06868
"POINT (757763.9 348206.5)",22,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Aggtelek,3759,,Kossuth L. u. 8.,FARKAS LAJOS,POLGÅRMESTER,Aggtelek 2,,,Nahaj Ferenc,jegyzô,község,09362
"POINT (491615.3 253849.5)",23,GYÕR-MOSON-SOPRON MEGYE,Agyagosszergény,9441,,Kossuth u. 16.,MENTES ALAJOS,POLGÅRMESTER,(99)380-524,(99)380-524,,Szalai József,jegyzô,község,29407
"POINT (873977.8 319421.3)",24,SZABOLCS-SZATMÁR-BEREG MEGYE,Ajak,4524,,Ady E. u. 25.,LESKOVICS BÉLA,POLGÅRMESTER,Ajak 1,,,Nagy Zsuzsanna,jegyzô,község,08776
"POINT (536454.9 196259.7)",25,VESZPRÉM MEGYE,Ajka,8400,,Szabadság tér 12.,MARTON JòZSEF,POLGÅRMESTER,(88)312-400,(88)312-794,32545 ajkat h,Dr. Gasztonyi Erzsébet,jegyzô,város,06673
"POINT (576398.8 229157.2)",26,KOMÁROM-ESZTERGOM MEGYE,Aka,2862,,Kossuth Lajos u. 64.,BALOM LÅSZLòNÉ,POLGÅRMESTER,(34)377-800,,,,,község,06682
"POINT (662091.4 149576.9)",27,BÁCS-KISKUN MEGYE,Akasztó,6221,,Fô u. 40.,DANIS ISTVÅN,POLGÅRMESTER,(78)351-011,(78)351-150,26933 aktan h,Varga Béláné,jegyzô,község,21944
"POINT (769033.1 320338.6)",28,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Alacska,3779,,Dózsa Gy. u. 7.,DR. SIMON LÅSZLò,POLGÅRMESTER,(48)345-332,,,Bogdánné Lengyel Mariann,jegyzô,község,33093
"POINT (622016.0 162840.1)",29,FEJÉR MEGYE,Alap,7011,,Dózsa Gy. u. 31.,HORVÅTH JòZSEF,POLGÅRMESTER,Alap 102,,,Korai Károly,jegyzô,község,26824
"POINT (725128.9 231782.1)",30,JÁSZ-NAGYKUN-SZOLNOK MEGYE,Alattyán,5142,,Szent István tér 1.,KISS KÅROLY,POLGÅRMESTER,Alattyán 31,,,Jánosi Menyhértné,jegyzô,község,25265
"POINT (692577 211088)",31,PEST MEGYE,Albertirsa,2730,,Kovács J. u. 2.,DR. KISS TIBOR,POLGÅRMESTER,(53)370-611,,,Fazekas Györgyné,jegyzô,község,31653
"POINT (616768.3 230978.2)",32,FEJÉR MEGYE,Alcsútdoboz,8087,,József A. u. 5.,DR. HARGITAI LÅSZLò,POLGÅRMESTER,(22)353-101,(22)353-101,,Ifju Attiláné,jegyzô,község,15176
"POINT (738535.6 272587.5)",33,HEVES MEGYE,Aldebrõ,3353,,Arany J. u. 1.,FARKAS LÅSZLò,POLGÅRMESTER,Aldebrô,,,Gulyás Imre,körjegyzô,község,06345
"POINT (487808.3 173543.2)",34,ZALA MEGYE,Alibánfa,8921,,Petôfi u. 1.,NÉMETH LÅSZLò,POLGÅRMESTER,(92)317-511,,,,,község,02644
"POINT (559586.9 91189.6)",35,BARANYA MEGYE,Almamellék,7934,,Kossuth L. u. 19.,SCHWARTZ JòZSEF,POLGÅRMESTER,(70)354-250,,,Kula Józsefné,körjegyzô,község,13329
"POINT (589990.2 265542.9)",36,KOMÁROM-ESZTERGOM MEGYE,Almásfüzitõ,2932,,Petôfi tér 1.,BIERMANN MARGIT,POLGÅRMESTER,(34)344-251,,,Fekete Józsefné,jegyzô,község,32346
"POINT (497466.7 168461.5)",37,ZALA MEGYE,Almásháza,8935,,Kossuth Lajos u. 14.,BÜKI LÅSZLò,POLGÅRMESTER,Zalacsány 6,,,,,község,23384
"POINT (806996.1 126342.4)",38,BÉKÉS MEGYE,Almáskamarás,5747,,Dózsa György u.54.,AMBRUS ATTILÅNÉ,POLGÅRMESTER,Almáskert 1,,,Burai Csaba,jegyzô,község,29595
"POINT (560941.5 86853.4)",39,BARANYA MEGYE,Almáskeresztúr,7932,,Fô u. 53.,STEIGER ANTAL,POLGÅRMESTER,(70)344-043,,,,,község,20376
"POINT (845911 336663)",40,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Alsóberecki,3985,,Kossuth L. u. 29.,ZUTI LAJOS,POLGÅRMESTER,(41)322-224,,,Tarr László,jegyzô,község,20482
"POINT (550339.8 130484.4)",41,SOMOGY MEGYE,Alsóbogát,7443,,nincs adat,SCHRANCZ LÅSZLò,POLGÅRMESTER,,,,,,község,34184
"POINT (795326.2 317036.0)",42,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Alsódobsza,3717,,Rákóczi u. 44.,BÜDI KÅROLY,POLGÅRMESTER,Alsódobsza 1,,,Tóth Géza,jegyzô,község,19664
"POINT (796372.1 342132.3)",43,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Alsógagy,3837,,Szabadság u. 32.,LIPUSZ GYÖRGY,POLGÅRMESTER,Felsôgagy 2,,,,,község,14429
"POINT (588524.2 108079.2)",44,BARANYA MEGYE,Alsómocsolád,7345,,Rákóczi u. 71.,DICSº LÅSZLò,POLGÅRMESTER,Alsómocsolád 2,,,Bán Gyula,jegyzô,község,17385
"POINT (620139.9 100666.4)",45,TOLNA MEGYE,Alsónána,7147,,Kossuth L. u. 27.,KOLLÅR LÅSZLò,POLGÅRMESTER,Várdomb 46,,,Margruber János,jegyzô,község,29665
"POINT (489222.2 169807.5)",46,ZALA MEGYE,Alsónemesapáti,8924,,Petôfi Sándor u. 1.,DR. SELMECZY KAMILL,POLGÅRMESTER,(92)364-082,,,Gál Mihály,jegyzô,község,19512
"POINT (658677.5 219023.9)",47,PEST MEGYE,Alsónémedi,2351,,Fô út 58.,DR. GYÖRGY BALÅZS,POLGÅRMESTER,(24)378-101,,,Némedi Erika,jegyzô,község,23199
"POINT (625873.4 95416.7)",48,TOLNA MEGYE,Alsónyék,7148,,Templom u. 8.,BOGÅR DEZSº,POLGÅRMESTER,Alsónyék 21,,,Aszman Géza,jegyzô,község,11563
"POINT (568584.7 183587.6)",49,VESZPRÉM MEGYE,Alsóörs,8226,,Ady E. u. 7.,BòKA ISTVÅN,POLGÅRMESTER,(86)347-192,,,Léhner Mária,jegyzô,község,30526
"POINT (506984.264 159636.0)",50,ZALA MEGYE,Alsópáhok,8394,,Fô u. 65.,VAS IMRÉNÉ,POLGÅRMESTER,Alsópáhok 1,,,Dr. Puskás László,jegyzô,község,32081
"POINT (664671.9 281243.2)",51,NÓGRÁD MEGYE,Alsópetény,2617,,Petôfi u. 26.,KIS ERNºNÉ,POLGÅRMESTER,Alsópetény 1,,,Vastag Imréné,jegyzô,község,16425
"POINT (493390.036 147478.935)",52,ZALA MEGYE,Alsórajk,8768,,Kossuth L. u. 8.,BEDº FERENC,POLGÅRMESTER,Felsôrajk 8,,,Papp Nándorné,jegyzô,község,18829
"POINT (840030.5 349947.3)",53,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Alsóregmec,3989,,Szabadság u. 74.,SZABò JòZSEF,POLGÅRMESTER,Mikóháza 7,,,,,község,23223
"POINT (453475.5 158779.1)",54,ZALA MEGYE,Alsószenterzsébet,8973,,Jókai út 7.,HORVÅTH LÅSZLò,POLGÅRMESTER,(92)352-238,,,Röszler Attila,körjegyzô,község,08767
"POINT (625930.8 160862.7)",55,FEJÉR MEGYE,Alsószentiván,7012,,Béke u. 56/a.,MÅRKLI GYULA,POLGÅRMESTER,Alsószentiván 1,,,Körmendi György,jegyzô,község,25283
"POINT (592428.0 49988.4)",56,BARANYA MEGYE,Alsószentmárton,7826,,Kossuth L. u. 40.,SZILÅGYI PÉTER,POLGÅRMESTER,(72)379-413,,,,,község,33279
"POINT (434186.448 179420.5)",57,VAS MEGYE,Alsószölnök,9983,,Fô u. 24.,BARTòK LÅSZLòNÉ,POLGÅRMESTER,(94)380-701,,,Rák Miklósné,körjegyzô,község,22549
"POINT (757950.4 337577.6)",58,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Alsószuha,3727,,Dózsa Gy. u. 3.,KISS ISTVÅN,POLGÅRMESTER,Zádorfalva 3,,,Eszlári József,jegyzô,község,28839
"POINT (769016.9 342033.7)",59,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Alsótelkes,3735,,Béke u. 2.,JUHÅSZ ÅRPÅD,POLGÅRMESTER,Felsôtelkes 2,,,,,község,08217
"POINT (691070.8 289894.5)",60,NÓGRÁD MEGYE,Alsótold,3067,,Szabadság u. 4.,KLÅTYIK ANDRÅS,POLGÅRMESTER,Alsótold 1,,,Madlena József,körjegyzô,község,07621
"POINT (484119.944 196004.41)",61,VAS MEGYE,Alsóújlak,9842,,Csurgó u. 15/a.,NAGY ANTAL,POLGÅRMESTER,(94)370-000,,,Dr. Tóth Zoltán,jegyzô,község,22725
"POINT (787886.8 323410.6)",62,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Alsóvadász,3811,,Fô u. 63.,SZATMÅRI ISTVÅN,POLGÅRMESTER,(46)396-808,,,Tóth Vencelné,jegyzô,község,29814
"POINT (786546.2 304647.7)",63,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Alsózsolca,3571,,Kossuth L. u. 128.,HORVÅTH JÅNOS,POLGÅRMESTER,(46)383-909,,,Török István,jegyzô,község,21032
"POINT (779557.1 113143.7)",64,CSONGRÁD MEGYE,Ambrózfalva,6916,,Dózsa Gy. u. 1.,TUSKA GYÖRGY,POLGÅRMESTER,Ambrózfalva 51,,,Kovács Józsefné,körjegyzô,község,16197
"POINT (877378.3 319154.2)",65,SZABOLCS-SZATMÁR-BEREG MEGYE,Anarcs,4546,,Kossuth L. u. 30.,KALINÅK JòZSEF JÅNOS,POLGÅRMESTER,Anarcs 1,,,Kiss Ferenc,jegyzô,község,29975
"POINT (563751.7 145667.1)",66,SOMOGY MEGYE,Andocs,8675,,Szabadság tér 1.,HORVÅTH ISTVÅN,POLGÅRMESTER,Andocs 1,,,Dr. Pethô Terézia,jegyzô,község,28714
"POINT (752056.4 279421.0)",67,HEVES MEGYE,Andornaktálya,3399,,II. Rákóczi F. u. 65.,BALOGH LÅSZLò,POLGÅRMESTER,(36)312-527,,,Szabó Zoltán,jegyzô,község,17987
"POINT (478313.7 182268.1)",68,VAS MEGYE,Andrásfa,9811,,Petôfi u. 15.,SZABò ATTILA,POLGÅRMESTER,(94)373-001,,,,,község,12317
"POINT (865729.3 294601.8)",69,SZABOLCS-SZATMÁR-BEREG MEGYE,Apágy,4553,,Kossuth L. u. 145.,KISS ISTVÅN,POLGÅRMESTER,Apagy 1,,,Kollonay István,jegyzô,község,20303
"POINT (653234.2 196591.5)",70,PEST MEGYE,Apaj,2345,,Fô tér 2.,HUBAY ÅDÅM,POLGÅRMESTER,(24)385-303,,,Kohut Józsefné,jegyzô,község,33561
"POINT (604174.8 109900.7)",71,TOLNA MEGYE,Aparhant,7186,,Kossuth L. u. 32.,SZÿCS GYÖRGY,POLGÅRMESTER,Aparhant 1,,,Szabó Gábor,körjegyzô,község,26125
"POINT (517005.1 198021.9)",72,VESZPRÉM MEGYE,Apácatorna,8477,,Kossuth u. 20.,LÅDONYI LÅSZLò,POLGÅRMESTER,Apácatorna 3,,,,,község,28370
"POINT (768480.3 93229.1)",73,CSONGRÁD MEGYE,Apátfalva,6931,,József A. u. 69.,SZENTESI JòZSEF,POLGÅRMESTER,Apátfalva 1,,,Sajtos László,jegyzô,község,14252
"POINT (438057.804 176278.5)",74,VAS MEGYE,Apátistvánfalva,9982,,Fô u. 143.,HOLECZ SÅNDOR,POLGÅRMESTER,(94)380-721,,,Erdei Lászlóné,körjegyzô,község,08873
"POINT (606312.3 93624.7)",75,BARANYA MEGYE,Apátvarasd,7720,,Fô u. 56.,BODORKÅS ISTVÅN,POLGÅRMESTER,Erdômecske 9,,,,,község,27298
"POINT (698727.8 272437.5)",76,HEVES MEGYE,Apc,3032,,Ezsébet tér 1.,GÉMES GÅBOR,POLGÅRMESTER,(38)331-309,,,Fodor Tibor,jegyzô,község,07241
"POINT (643712.1 170649.7)",77,BÁCS-KISKUN MEGYE,Apostag,6088,,Kossuth u. 1.,SZABò JòZSEF (ÖTVÖS),POLGÅRMESTER,Dunavecse 72,,26895 aptan h,Dr. Szöllôsi Károlyné,jegyzô,község,21148
"POINT (888605.5 323247.8)",78,SZABOLCS-SZATMÁR-BEREG MEGYE,Aranyosapáti,4634,,Kossuth L. u. 43.,PÅLFI ANDRÅS,POLGÅRMESTER,Aranyosapáti 9,,,Koncz Gusztáv,jegyzô,község,09353
"POINT (578236.2 74102.9)",79,BARANYA MEGYE,Aranyosgadány,7671,,Kossuth L. u. 25.,IFJ. CSURGYòK LAJOSNÉ,POLGÅRMESTER,(72)373-303,,,,,község,06886
"POINT (813370.6 337083.7)",80,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Arka,3885,,Hunyadi u. 34.,VARKOLY FERENCNÉ,POLGÅRMESTER,Boldogkôváralja 6,,,,,község,26198
"POINT (739944.1 315733.2)",81,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Arló,3663,,Ady E. u. 162.,ZSIGRAI ÅRPÅD,POLGÅRMESTER,Arló 2,,,Györkefalvi Imréné,jegyzô,község,14331
"POINT (784902.4 311416.2)",82,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Arnót,3713,,Petôfi u. 120.,KOLENKò GÅBOR,POLGÅRMESTER,(46)327-828,,,Zolnai Mónika,jegyzô,község,03771
"POINT (792133.0 321075.1)",83,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Aszaló,3841,,Rákóczi u. 87.,BARÅTH LÅSZLò,POLGÅRMESTER,Szikszó 601,,,Saminé Matlák Magdolna,jegyzô,község,04233
"POINT (681578.9 256918.3)",84,PEST MEGYE,Aszód,2170,,Szabadság tér 9.,BAGYIN JòZSEF,POLGÅRMESTER,Aszód 1,,,Kissné Kulyhus Gizella,jegyzô,város,16188
"POINT (557366.6 176942.0)",85,VESZPRÉM MEGYE,Aszófõ,8241,,Årpád u. 2.,FODOR KÅROLY,POLGÅRMESTER,(86)345-081,,,Dr. Galgóczi Dezsôné,jegyzô,község,07339
"POINT (713205.0 264127.5)",86,HEVES MEGYE,Atkár,3213,,Fô u. 70.,KRIZSÅNY GYULÅNÉ,POLGÅRMESTER,(37)361-021,,,Sivák István,jegyzô,község,16090
"POINT (574504.2 115270.0)",87,TOLNA MEGYE,Attala,7252,,Kossuth L. u. 15.,BOGNÅR ZOLTÅN,POLGÅRMESTER,(74)365-124,,,Dr. Budavári Lajos,jegyzô,község,32735
"POINT (537039.8 164363.7)",88,VESZPRÉM MEGYE,Ábrahámhegy,8256,,Badacsonyi út 13.,GÅSPÅR JòZSEF,POLGÅRMESTER,(87)331-506,,,Dr. Kondorosi Andrea,körjegyzô,község,04561
"POINT (572469.0 263508.3)",89,KOMÁROM-ESZTERGOM MEGYE,Ács,2941,,Gyár u. 23.,PÉNTEK LÖRINC,POLGÅRMESTER,(60)374-064 rádiótelefon,,,Dr. Hermann Zoltán,jegyzô,község,04428
"POINT (571240.7 229988.8)",90,KOMÁROM-ESZTERGOM MEGYE,Ácsteszér,2887,,Kossuth Lajos u.54.,KLUPÅCS ANDRÅS,POLGÅRMESTER,(34)388-088,(34)327-587,,Halász Józsefné,körjegyzô,község,18139
"POINT (582254.3 168619.3)",91,SOMOGY MEGYE,Ádánd,8653,,Kossuth L. u. 50.,NAGY KÅROLY,POLGÅRMESTER,(84)357-511,,,Széles László,jegyzô,község,06080
"POINT (584855.0 106156.5)",92,BARANYA MEGYE,Ág,7381,,Alkotmány u. 8.,TAMÅS MAGDOLNA,POLGÅRMESTER,Kisvaszar 2,,,,,község,25812
"POINT (680671.5 165943.8)",93,BÁCS-KISKUN MEGYE,Ágasegyháza,6076,,Szent István tér 1.,ÅDÅM JòZSEFNÉ,POLGÅRMESTER,(76)388-211,(76)388-018,,betöltetlen,jegyzô betöltetlen,község,17686
"POINT (459598.524 263436.1)",94,GYÕR-MOSON-SOPRON MEGYE,Ágfalva,9423,,Soproni u. 3.,WÅGNER GÉZA,POLGÅRMESTER,(99)330-012,(99)330-012,,Dr. Fónayné dr.Tihanyvári Éva,jegyzô,község,04880
"POINT (871317.1 234448.3)",95,HAJDU-BIHAR MEGYE,Álmosd,4285,,Fô u. 10.,FARKAS PÅL,POLGÅRMESTER,(52)388-035,(52)388-035,,Szabóné Åsztai Julianna,jegyzô,község,27641
"POINT (647222.5 209151.3)",96,PEST MEGYE,Áporka,2338,,Petôfi u. 32.,ÅGOSTON PÅL ANTAL,POLGÅRMESTER,(24)330-205,,,Bánfalvi Sándorné,jegyzô,község,10108
"POINT (792157.4 266805.6)",97,BORSOD-ABAUJ-ZEMPLÉN MEGYE,Ároktõ,3467,,Széchenyi u. 75.,DR. IHÅSZY ERNºNÉ,POLGÅRMESTER,Åroktô 2,,,Sárai Gyula,jegyzô,község,03823
"POINT (765116.3 142426.4)",98,CSONGRÁD MEGYE,Árpádhalom,6623,,Petôfi u. 17.,FRòMAN RòBERT,POLGÅRMESTER,Årpádhalom 7,,,Harmati Sándor,jegyzô,község,19062
"POINT (525292.0 242388.6)",99,GYÕR-MOSON-SOPRON MEGYE,Árpás,9132,,Kápolna tér 8.,FELLER SÅNDOR,POLGÅRMESTER,(96)369-055,,,,,község,32249
"POINT (855400.0 201300.7)",100,HAJDU-BIHAR MEGYE,Ártánd,4115,,Rákóczi u. 28.,DÅVID IMRE,POLGÅRMESTER,Årtánd 110,,,,,község,03319
"POINT (706750.5 95271.6)",101,CSONGRÁD MEGYE,Ásotthalom,6783,,Szabadság tér 1.,DR. KRISZTIN ANDRÅS,POLGÅRMESTER,(62)381-521,(62)381-519,,Dr. Szép Tibor,jegyzô,község,10339
"POINT (533925.1 277543.9)",102,GYÕR-MOSON-SOPRON MEGYE,Ásványráró,9177,,Gyôri u. 30.,BÖºSY IMRE,POLGÅRMESTER,(98)315-239,(98)315-010,,Sághi Gyuláné,jegyzô,község,26921
"POINT (591890.9 65997.9)",103,BARANYA MEGYE,Áta,7763,,Kossuth L. u. 25.,SOòS NÅNDOR,POLGÅRMESTER,(72)376-854,,,,,község,28583
"POINT (748794.8 253239.8)",104,HEVES MEGYE,Átány,3371,,Rákóczi u. 60.,NEMES KÅLMÅNNÉ,POLGÅRMESTER,Åtány 1,,,Dányiné Szórád Ibolya,jegyzô,község,06503
"POINT (611778.5 73285.1)",105,BARANYA MEGYE,Babarc,7757,,Béke u. 41.,PÉCSI SÅNDOR,POLGÅRMESTER,Babarc 1,,,Dr. Sólya Nándor,körjegyzô,község,05403
"POINT (579311.6 62053.1)",106,BARANYA MEGYE,Babarcszõlõs,7814,,Dózsa Gy. u. 10.,BENKº LAJOS,POLGÅRMESTER,(72)379-026,,,,,község,09663
"POINT (476946.1 165838.7)",107,ZALA MEGYE,Babosdöbréte,8916,,Petôfi Sándor u. 8.,KIS JÅNOS,POLGÅRMESTER,(92)370-031,,,,,község,21263
"POINT (518102.3 78240.6)",108,SOMOGY MEGYE,Babócsa,7584,,Rákóczi u. 14.,ANDRÅS ZOLTÅN,POLGÅRMESTER,12,,,Ågoston Lajos,körjegyzô,község,30474
"POINT (501997.044 249405.47)",109,GYÕR-MOSON-SOPRON MEGYE,Babót,9351,,Fô u. 47.,GARAB LÅSZLò,POLGÅRMESTER,(97)341-289,(97)341-289,,Kovács Andrea,jegyzô,község,15042
"POINT (532868.5 163477.3)",110,VESZPRÉM MEGYE,Badacsonytomaj,8258,,Fô u. 2.,KÅLòCZI KÅLMÅN,POLGÅRMESTER,(87)331-177,(87)331-289,32629 batan h,Dr. Kondorosi László,körjegyzô,község,22327
"POINT (529885.0 164262.5)",111,VESZPRÉM MEGYE,Badacsonytördemic,8263,,Hôsök útja 14.,KOVÅCS LÅSZLòNÉ,POLGÅRMESTER,(87)333-036,(87)333-036,,Kanizsai Katalin,jegyzô,község,03267
"POINT (682999.7 254450.0)",112,PEST MEGYE,Bag,2191,,Szent Imre u. 52.,JAMRIK LÅSZLò,POLGÅRMESTER,Hévizgyörk 21,,,Begidsán Ottóné,jegyzô,község,09131
"POINT (872228.1 238193.2)",113,HAJDU-BIHAR MEGYE,Bagamér,4286,,Kossuth u. 7.,VÅLYI LAJOS,POLGÅRMESTER,(52)388-131,(52)388-131,,Pénzes Sándor,jegyzô,község,20011
"POINT (453855.2 151567.64)",114,ZALA MEGYE,Baglad,8977,,Csillag krt. 39.,KULCSÅR GYÖRGYNÉ,POLGÅRMESTER,nincs adat,,,,,község,11059
"POINT (474970.1 173789.1)",115,ZALA MEGYE,Bagod,8992,,Kossuth L. u. 13.,MOGYORòSI JòZSEF,POLGÅRMESTER,(92)360-001,,,Tuboly Verona,jegyzô,község,30368
"POINT (598595.0 256339.1)",116,KOMÁROM-ESZTERGOM MEGYE,Baj,2836,,Petôfi u. 50.,SCHUNDER TIBOR,POLGÅRMESTER,(34)381-597,,,Dr. Oláh Tiborné,jegyzô,község,29212
"POINT (642916.4 93093.9)",117,BÁCS-KISKUN MEGYE,Baja,6501,,Szentháromság tér 1.,SZÉLL PÉTER,POLGÅRMESTER,(79)325-144,(79)325-841,81219 bvt h,Dr. Völgyesi László,jegyzô,város,03522
"POINT (446368.0 166037.4)",118,VAS MEGYE,Bajánsenye,9944,,Vörösmarty u. 13/a.,AVAS ÅRPÅD,POLGÅRMESTER,Bajánsenye 6,,,Dr. Tóth Tamás,körjegyzô,község,17020
"POINT (616288.4 256545.3)",119,KOMÁROM-ESZTERGOM MEGYE,Bajna,2525,,Kossuth u. 1.,PALLAGI BÉLA,POLGÅRMESTER,(33)347-133,,,Berek Károlyné,jegyzô,község,16744
"POINT (613372.9 265037.8)",120,KOMÁROM-ESZTERGOM MEGYE,Bajót,2533,,Kossuth u. 69.,TÖRÖK JÅNOS,POLGÅRMESTER,(30)355-341,,,Jámborné Dr. Fazekas Ildikó,jegyzô,község,29355
"POINT (481605.4 156270.9)",121,ZALA MEGYE,Bak,8945,,Rákóczi u. 2/a,LÖVEY ISTVÅN,POLGÅRMESTER,(92)361-001,,,Simon Lajosné,körjegyzô,község,04738
"POINT (519474.2 85974.8)",122,SOMOGY MEGYE,Bakháza,7585,,Kossuth L. u. 10.,NAGY TIBOR,POLGÅRMESTER,nincs adat,,,,,község,14395
"POINT (831628.2 207736.8)",123,HAJDU-BIHAR MEGYE,Bakonszeg,4164,,Hunyadi u. 24.,MARCZIN SÅNDOR,POLGÅRMESTER,Bakonszeg 18,,,betöltetlen,jegyzô betöltetlen,község,15167
"POINT (575462.4 82793.3)",124,BARANYA MEGYE,Bakonya,7675,,Dózsa Gy. u. 1.,VAKARò ANDRÅS,POLGÅRMESTER,Bakonya 1,,,,,község,08299
"POINT (563647.2 236388.7)",125,KOMÁROM-ESZTERGOM MEGYE,Bakonybánk,2885,,Kossuth u. 27.,DOSZTÅLY CSABA,POLGÅRMESTER,(34)359-822,,,,,község,24244
"POINT (550227.2 212953.3)",126,VESZPRÉM MEGYE,Bakonybél,8427,,Jókai u. 2.,KUTI FERENC,POLGÅRMESTER,Bakonybél 33,,,Markóné Kerper Erika,körjegyzô,község,23746
